# layered-euclid-burst control log
sample_rate_hz=48000 frames=772364 bpm=110 beats=24
euclid_steps=13 fills=7 rotate=4
burst_cluster=3 spacing_samples=420
euclid_seed=0xe0c11d burst_seed=0xb0057d
events=153
index,engine,when_samples,euclid_step,burst_idx,pan,sampler_tone,resonator_color,granular_spray
93,sampler,386182,59,0,0.340400,0.980911,0.452519,0.195094
94,resonator,386602,59,1,0.484800,0.979910,0.451804,0.195190
95,granular,387022,59,2,0.629200,0.978885,0.451092,0.195281
96,sampler,392727,60,0,0.576000,0.962528,0.441873,0.195931
97,resonator,393147,60,1,0.720400,0.961148,0.441227,0.195935
98,granular,393567,60,2,0.864800,0.959745,0.440586,0.195934
99,sampler,405818,62,0,0.287200,0.908905,0.423974,0.193528
100,resonator,406238,62,1,0.431600,0.906841,0.423477,0.193376
101,granular,406658,62,2,0.576000,0.904756,0.422986,0.193219
102,sampler,418909,64,0,0.758400,0.835862,0.410878,0.187598
103,resonator,419329,64,1,0.142800,0.833247,0.410541,0.187389
104,granular,419749,64,2,0.287200,0.830617,0.410208,0.187181
105,sampler,432000,66,0,0.469600,0.748144,0.402837,0.181878
106,resonator,432420,66,1,0.614000,0.745149,0.402665,0.181743
107,granular,432840,66,2,0.758400,0.742144,0.402498,0.181612
108,sampler,445091,68,0,0.180800,0.651451,0.400004,0.180091
109,resonator,445511,68,1,0.325200,0.648270,0.400000,0.180128
110,granular,445931,68,2,0.469600,0.645086,0.400002,0.180171
111,sampler,458182,70,0,0.652000,0.552065,0.402433,0.184229
112,resonator,458602,70,1,0.796400,0.548904,0.402598,0.184459
113,granular,459022,70,2,0.180800,0.545748,0.402768,0.184696
114,sampler,471273,72,0,0.363200,0.456443,0.410078,0.193590
115,resonator,471693,72,1,0.507600,0.453508,0.410409,0.193946
116,granular,472113,72,2,0.652000,0.450584,0.410744,0.194303
117,sampler,477818,73,0,0.598800,0.412009,0.415815,0.199292
118,resonator,478238,73,1,0.743200,0.409260,0.416225,0.199662
119,granular,478658,73,2,0.127600,0.406525,0.416641,0.200033
120,sampler,490909,75,0,0.310000,0.333493,0.430979,0.209982
121,resonator,491329,75,1,0.454400,0.331247,0.431544,0.210270
122,granular,491749,75,2,0.598800,0.329020,0.432115,0.210552
123,sampler,504000,77,0,0.781200,0.272943,0.450812,0.215988
124,resonator,504420,77,1,0.165600,0.271345,0.451522,0.216061
125,granular,504840,77,2,0.310000,0.269771,0.452236,0.216126
126,sampler,517091,79,0,0.492400,0.234291,0.474936,0.214188
127,resonator,517511,79,1,0.636800,0.233446,0.475776,0.213989
128,granular,517931,79,2,0.781200,0.232626,0.476620,0.213781
129,sampler,530182,81,0,0.203600,0.220050,0.502888,0.204401
130,resonator,530602,81,1,0.348000,0.220012,0.503843,0.203986
131,granular,531022,81,2,0.492400,0.220000,0.504800,0.203566
132,sampler,543273,83,0,0.674800,0.231144,0.534134,0.190472
133,resonator,543693,83,1,0.819200,0.231915,0.535185,0.190037
134,granular,544113,83,2,0.203600,0.232713,0.536238,0.189606
135,sampler,556364,85,0,0.386000,0.266852,0.568076,0.180557
136,resonator,556784,85,1,0.530400,0.268384,0.569202,0.180428
137,granular,557204,85,2,0.674800,0.269938,0.570330,0.180315
138,sampler,562909,86,0,0.621600,0.293269,0.585854,0.180595
139,resonator,563329,86,1,0.766000,0.295145,0.587011,0.180765
140,granular,563749,86,2,0.150400,0.297043,0.588169,0.180957
141,sampler,576000,88,0,0.332800,0.361088,0.622609,0.198176
142,resonator,576420,88,1,0.477200,0.363558,0.623808,0.199217
143,granular,576840,88,2,0.621600,0.366045,0.625009,0.200292
144,sampler,589091,90,0,0.804000,0.445078,0.660366,0.246922
145,resonator,589511,90,1,0.188400,0.447982,0.661585,0.249061
146,granular,589931,90,2,0.332800,0.450896,0.662806,0.251236
147,sampler,602182,92,0,0.515200,0.539784,0.698402,0.329889
148,resonator,602602,92,1,0.659600,0.542932,0.699619,0.333071
149,granular,603022,92,2,0.804000,0.546085,0.700836,0.336281
150,sampler,615273,94,0,0.226400,0.639052,0.735992,0.440551
151,resonator,615693,94,1,0.370800,0.642240,0.737182,0.444409
152,granular,616113,94,2,0.515200,0.645426,0.738371,0.448281
automation_stride_frames=192
frame,sampler_tone,resonator_color,granular_spray
0,0.839236,0.675000,0.984619
192,0.840417,0.675558,0.984170
384,0.841595,0.676117,0.983716
576,0.842770,0.676675,0.983257
768,0.843941,0.677234,0.982792
960,0.845109,0.677792,0.982322
1152,0.846274,0.678350,0.981846
1344,0.847436,0.678909,0.981365
1536,0.848594,0.679467,0.980879
1728,0.849749,0.680025,0.980388
1920,0.850900,0.680583,0.979892
2112,0.852048,0.681142,0.979390
2304,0.853193,0.681700,0.978884
2496,0.854334,0.682258,0.978372
2688,0.855472,0.682816,0.977856
2880,0.856606,0.683375,0.977334
3072,0.857737,0.683933,0.976808
3264,0.858864,0.684491,0.976277
3456,0.859988,0.685049,0.975741
3648,0.861108,0.685607,0.975201
3840,0.862225,0.686165,0.974655
4032,0.863338,0.686723,0.974106
4224,0.864448,0.687280,0.973551
4416,0.865554,0.687838,0.972992
4608,0.866657,0.688396,0.972429
4800,0.867756,0.688954,0.971861
4992,0.868851,0.689511,0.971289
5184,0.869943,0.690069,0.970713
5376,0.871031,0.690626,0.970132
5568,0.872115,0.691184,0.969547
5760,0.873196,0.691741,0.968958
5952,0.874273,0.692299,0.968364
6144,0.875346,0.692856,0.967767
6336,0.876416,0.693413,0.967165
6528,0.877482,0.693970,0.966560
6720,0.878544,0.694527,0.965950
6912,0.879602,0.695084,0.965337
7104,0.880656,0.695641,0.964720
7296,0.881707,0.696198,0.964099
7488,0.882754,0.696754,0.963474
7680,0.883797,0.697311,0.962846
7872,0.884836,0.697867,0.962214
8064,0.885872,0.698424,0.961578
8256,0.886903,0.698980,0.960939
8448,0.887931,0.699536,0.960296
8640,0.888954,0.700092,0.959650
