# layered-euclid-burst control log
sample_rate_hz=48000 frames=772364 bpm=110 beats=24
euclid_steps=13 fills=7 rotate=4
burst_cluster=3 spacing_samples=420
euclid_seed=0xe0c11d burst_seed=0xb0057d
events=153
index,engine,when_samples,euclid_step,burst_idx,pan,sampler_tone,resonator_color,granular_spray
87360,0.891840,0.894435,0.801051
87552,0.890828,0.894771,0.801339
87744,0.889812,0.895106,0.801631
87936,0.888791,0.895440,0.801925
88128,0.887767,0.895774,0.802222
88320,0.886739,0.896106,0.802522
88512,0.885707,0.896438,0.802825
88704,0.884671,0.896768,0.803131
88896,0.883631,0.897098,0.803439
89088,0.882587,0.897427,0.803750
89280,0.881540,0.897755,0.804064
89472,0.880488,0.898082,0.804381
89664,0.879433,0.898408,0.804701
89856,0.878375,0.898733,0.805023
90048,0.877312,0.899057,0.805348
90240,0.876245,0.899381,0.805675
90432,0.875175,0.899703,0.806006
90624,0.874101,0.900024,0.806339
90816,0.873024,0.900345,0.806674
91008,0.871943,0.900665,0.807013
91200,0.870858,0.900983,0.807354
91392,0.869769,0.901301,0.807697
91584,0.868677,0.901618,0.808043
91776,0.867581,0.901934,0.808392
91968,0.866481,0.902248,0.808743
92160,0.865378,0.902562,0.809096
92352,0.864271,0.902875,0.809453
92544,0.863161,0.903188,0.809811
92736,0.862047,0.903499,0.810172
92928,0.860930,0.903809,0.810536
93120,0.859809,0.904118,0.810902
93312,0.858684,0.904427,0.811270
93504,0.857557,0.904734,0.811641
93696,0.856425,0.905040,0.812014
93888,0.855290,0.905346,0.812390
94080,0.854152,0.905650,0.812768
94272,0.853010,0.905954,0.813148
94464,0.851865,0.906257,0.813531
94656,0.850717,0.906558,0.813916
94848,0.849565,0.906859,0.814303
95040,0.848409,0.907159,0.814692
95232,0.847251,0.907458,0.815084
95424,0.846089,0.907756,0.815477
95616,0.844923,0.908052,0.815873
95808,0.843755,0.908348,0.816272
96000,0.842583,0.908643,0.816672
96192,0.841408,0.908937,0.817075
96384,0.840229,0.909230,0.817479
96576,0.839048,0.909523,0.817886
96768,0.837863,0.909814,0.818295
96960,0.836675,0.910104,0.818706
97152,0.835483,0.910393,0.819119
97344,0.834289,0.910681,0.819533
97536,0.833091,0.910968,0.819950
97728,0.831891,0.911255,0.820369
97920,0.830687,0.911540,0.820790
98112,0.829480,0.911824,0.821213
98304,0.828270,0.912108,0.821638
98496,0.827057,0.912390,0.822065
98688,0.825841,0.912671,0.822493
98880,0.824621,0.912952,0.822924
99072,0.823399,0.913231,0.823356
99264,0.822174,0.913510,0.823791
99456,0.820946,0.913787,0.824227
99648,0.819715,0.914064,0.824664
99840,0.818481,0.914339,0.825104
100032,0.817244,0.914614,0.825545
100224,0.816004,0.914887,0.825988
100416,0.814761,0.915160,0.826433
100608,0.813515,0.915431,0.826880
100800,0.812267,0.915702,0.827328
100992,0.811015,0.915971,0.827778
101184,0.809761,0.916240,0.828229
101376,0.808504,0.916507,0.828682
101568,0.807244,0.916774,0.829137
101760,0.805982,0.917040,0.829593
101952,0.804716,0.917304,0.830051
102144,0.803448,0.917568,0.830511
102336,0.802178,0.917830,0.830972
102528,0.800904,0.918092,0.831434
102720,0.799628,0.918352,0.831898
102912,0.798349,0.918612,0.832363
103104,0.797068,0.918871,0.832830
103296,0.795783,0.919128,0.833299
103488,0.794497,0.919385,0.833768
103680,0.793207,0.919640,0.834239
103872,0.791916,0.919895,0.834712
104064,0.790621,0.920148,0.835185
104256,0.789324,0.920401,0.835661
104448,0.788025,0.920652,0.836137
104640,0.786723,0.920903,0.836615
104832,0.785418,0.921152,0.837093
105024,0.784111,0.921401,0.837574
105216,0.782802,0.921648,0.838055
105408,0.781490,0.921895,0.838538
105600,0.780176,0.922140,0.839021
105792,0.778859,0.922384,0.839506
105984,0.777540,0.922628,0.839992
106176,0.776219,0.922870,0.840480
106368,0.774895,0.923111,0.840968
106560,0.773569,0.923352,0.841457
106752,0.772241,0.923591,0.841948
106944,0.770910,0.923829,0.842439
107136,0.769577,0.924066,0.842932
107328,0.768242,0.924303,0.843425
107520,0.766905,0.924538,0.843920
107712,0.765565,0.924772,0.844415
107904,0.764224,0.925005,0.844912
108096,0.762880,0.925237,0.845409
108288,0.761534,0.925468,0.845907
108480,0.760186,0.925698,0.846406
108672,0.758835,0.925927,0.846906
108864,0.757483,0.926155,0.847407
109056,0.756128,0.926382,0.847909
109248,0.754772,0.926608,0.848411
109440,0.753413,0.926833,0.848914
109632,0.752053,0.927057,0.849418
109824,0.750690,0.927279,0.849923
110016,0.749326,0.927501,0.850428
110208,0.747959,0.927722,0.850934
110400,0.746591,0.927941,0.851441
110592,0.745221,0.928160,0.851948
110784,0.743848,0.928378,0.852457
110976,0.742474,0.928594,0.852965
111168,0.741098,0.928810,0.853475
111360,0.739721,0.929024,0.853984
111552,0.738341,0.929237,0.854495
111744,0.736960,0.929450,0.855006
111936,0.735576,0.929661,0.855517
112128,0.734191,0.929871,0.856029
112320,0.732805,0.930080,0.856542
112512,0.731416,0.930288,0.857055
112704,0.730026,0.930496,0.857568
112896,0.728634,0.930702,0.858082
113088,0.727241,0.930907,0.858596
113280,0.725846,0.931110,0.859111
113472,0.724449,0.931313,0.859626
113664,0.723050,0.931515,0.860141
113856,0.721650,0.931716,0.860657
114048,0.720249,0.931915,0.861172
114240,0.718846,0.932114,0.861689
114432,0.717441,0.932312,0.862205
114624,0.716035,0.932508,0.862722
114816,0.714627,0.932704,0.863239
115008,0.713218,0.932898,0.863756
115200,0.711808,0.933091,0.864273
115392,0.710396,0.933284,0.864791
115584,0.708982,0.933475,0.865308
115776,0.707568,0.933665,0.865826
115968,0.706151,0.933854,0.866344
116160,0.704734,0.934042,0.866862
116352,0.703315,0.934229,0.867380
116544,0.701895,0.934415,0.867898
116736,0.700473,0.934599,0.868416
116928,0.699051,0.934783,0.868934
117120,0.697627,0.934966,0.869453
117312,0.696202,0.935147,0.869971
117504,0.694775,0.935328,0.870489
117696,0.693348,0.935507,0.871007
117888,0.691919,0.935686,0.871525
118080,0.690489,0.935863,0.872043
118272,0.689058,0.936039,0.872560
118464,0.687626,0.936214,0.873078
118656,0.686192,0.936388,0.873595
118848,0.684758,0.936561,0.874113
119040,0.683323,0.936733,0.874630
119232,0.681886,0.936904,0.875147
119424,0.680449,0.937074,0.875663
119616,0.679011,0.937242,0.876180
119808,0.677571,0.937410,0.876696
120000,0.676131,0.937576,0.877212
120192,0.674690,0.937742,0.877728
120384,0.673247,0.937906,0.878243
120576,0.671804,0.938069,0.878758
120768,0.670360,0.938231,0.879272
120960,0.668916,0.938392,0.879787
121152,0.667470,0.938552,0.880301
121344,0.666024,0.938711,0.880814
121536,0.664577,0.938869,0.881327
121728,0.663129,0.939026,0.881840
121920,0.661680,0.939181,0.882352
122112,0.660230,0.939336,0.882864
122304,0.658780,0.939489,0.883375
122496,0.657329,0.939642,0.883885
122688,0.655878,0.939793,0.884396
122880,0.654426,0.939943,0.884905
123072,0.652973,0.940092,0.885414
123264,0.651520,0.940240,0.885923
123456,0.650066,0.940387,0.886431
123648,0.648611,0.940533,0.886938
123840,0.647156,0.940678,0.887445
124032,0.645701,0.940821,0.887951
124224,0.644245,0.940964,0.888457
124416,0.642788,0.941105,0.888961
124608,0.641331,0.941245,0.889465
124800,0.639874,0.941385,0.889969
124992,0.638416,0.941523,0.890472
125184,0.636957,0.941660,0.890974
125376,0.635499,0.941796,0.891475
125568,0.634040,0.941931,0.891975
125760,0.632580,0.942064,0.892475
125952,0.631121,0.942197,0.892974
126144,0.629661,0.942328,0.893472
126336,0.628201,0.942459,0.893969
126528,0.626740,0.942588,0.894466
126720,0.625279,0.942716,0.894961
126912,0.623818,0.942844,0.895456
127104,0.622357,0.942970,0.895950
127296,0.620896,0.943094,0.896443
127488,0.619435,0.943218,0.896935
127680,0.617973,0.943341,0.897426
127872,0.616511,0.943463,0.897916
128064,0.615049,0.943583,0.898405
128256,0.613588,0.943702,0.898893
128448,0.612126,0.943821,0.899381
128640,0.610664,0.943938,0.899867
128832,0.609202,0.944054,0.900352
129024,0.607740,0.944169,0.900836
129216,0.606278,0.944283,0.901320
129408,0.604816,0.944395,0.901802
129600,0.603354,0.944507,0.902283
129792,0.601893,0.944617,0.902763
129984,0.600431,0.944727,0.903242
130176,0.598970,0.944835,0.903719
130368,0.597508,0.944942,0.904196
130560,0.596047,0.945048,0.904672
130752,0.594586,0.945153,0.905146
130944,0.593125,0.945257,0.905619
131136,0.591665,0.945360,0.906092
131328,0.590205,0.945461,0.906562
131520,0.588745,0.945562,0.907032
131712,0.587285,0.945661,0.907501
131904,0.585826,0.945759,0.907968
132096,0.584367,0.945856,0.908434
132288,0.582908,0.945952,0.908899
132480,0.581450,0.946047,0.909363
132672,0.579992,0.946141,0.909825
132864,0.578535,0.946234,0.910286
133056,0.577078,0.946325,0.910746
133248,0.575621,0.946416,0.911204
133440,0.574165,0.946505,0.911661
133632,0.572710,0.946593,0.912117
133824,0.571255,0.946680,0.912572
134016,0.569800,0.946766,0.913025
134208,0.568346,0.946851,0.913477
134400,0.566893,0.946935,0.913927
134592,0.565440,0.947017,0.914376
134784,0.563988,0.947099,0.914824
134976,0.562537,0.947179,0.915271
135168,0.561086,0.947258,0.915715
135360,0.559636,0.947336,0.916159
135552,0.558187,0.947413,0.916601
135744,0.556738,0.947489,0.917042
135936,0.555290,0.947564,0.917481
136128,0.553843,0.947638,0.917919
136320,0.552397,0.947710,0.918355
136512,0.550951,0.947781,0.918790
136704,0.549507,0.947852,0.919223
136896,0.548063,0.947921,0.919655
137088,0.546620,0.947989,0.920085
137280,0.545178,0.948056,0.920514
137472,0.543737,0.948121,0.920942
137664,0.542296,0.948186,0.921367
137856,0.540857,0.948249,0.921792
138048,0.539419,0.948312,0.922214
138240,0.537981,0.948373,0.922636
138432,0.536545,0.948433,0.923055
138624,0.535110,0.948492,0.923473
138816,0.533676,0.948550,0.923890
139008,0.532242,0.948606,0.924305
139200,0.530810,0.948662,0.924718
139392,0.529379,0.948716,0.925130
139584,0.527950,0.948770,0.925540
139776,0.526521,0.948822,0.925949
139968,0.525094,0.948873,0.926355
140160,0.523667,0.948923,0.926761
140352,0.522242,0.948972,0.927164
140544,0.520818,0.949019,0.927566
140736,0.519396,0.949066,0.927967
140928,0.517974,0.949111,0.928366
141120,0.516554,0.949156,0.928763
141312,0.515136,0.949199,0.929158
141504,0.513718,0.949241,0.929552
141696,0.512302,0.949282,0.929944
141888,0.510888,0.949322,0.930334
142080,0.509474,0.949360,0.930723
142272,0.508062,0.949398,0.931110
142464,0.506652,0.949434,0.931495
142656,0.505243,0.949469,0.931879
142848,0.503836,0.949503,0.932261
143040,0.502430,0.949536,0.932641
143232,0.501025,0.949568,0.933019
143424,0.499622,0.949599,0.933396
143616,0.498221,0.949629,0.933771
143808,0.496821,0.949657,0.934144
144000,0.495423,0.949684,0.934516
144192,0.494026,0.949710,0.934885
144384,0.492631,0.949736,0.935253
144576,0.491238,0.949759,0.935620
144768,0.489846,0.949782,0.935984
144960,0.488456,0.949804,0.936347
145152,0.487068,0.949824,0.936708
145344,0.485681,0.949844,0.937067
145536,0.484296,0.949862,0.937425
145728,0.482913,0.949879,0.937780
145920,0.481532,0.949895,0.938134
146112,0.480153,0.949910,0.938486
146304,0.478775,0.949924,0.938836
146496,0.477399,0.949936,0.939185
146688,0.476025,0.949948,0.939532
146880,0.474653,0.949958,0.939877
147072,0.473283,0.949967,0.940220
147264,0.471915,0.949975,0.940561
147456,0.470548,0.949982,0.940900
147648,0.469184,0.949988,0.941238
147840,0.467822,0.949993,0.941574
148032,0.466461,0.949996,0.941908
148224,0.465103,0.949999,0.942240
148416,0.463747,0.950000,0.942571
148608,0.462393,0.950000,0.942899
148800,0.461040,0.949999,0.943226
148992,0.459690,0.949997,0.943551
149184,0.458342,0.949993,0.943874
149376,0.456997,0.949989,0.944196
149568,0.455653,0.949983,0.944515
149760,0.454311,0.949977,0.944833
149952,0.452972,0.949969,0.945149
150144,0.451635,0.949960,0.945463
150336,0.450300,0.949950,0.945775
150528,0.448967,0.949939,0.946085
150720,0.447637,0.949926,0.946394
150912,0.446309,0.949913,0.946700
151104,0.444983,0.949898,0.947005
151296,0.443660,0.949882,0.947308
151488,0.442339,0.949866,0.947609
151680,0.441020,0.949848,0.947908
151872,0.439703,0.949828,0.948206
152064,0.438389,0.949808,0.948502
152256,0.437078,0.949787,0.948795
152448,0.435769,0.949764,0.949087
152640,0.434462,0.949740,0.949377
152832,0.433158,0.949716,0.949666
153024,0.431856,0.949690,0.949952
153216,0.430556,0.949663,0.950237
153408,0.429260,0.949634,0.950519
153600,0.427965,0.949605,0.950800
153792,0.426674,0.949575,0.951079
153984,0.425385,0.949543,0.951356
154176,0.424098,0.949510,0.951632
154368,0.422814,0.949476,0.951905
154560,0.421533,0.949441,0.952177
154752,0.420255,0.949405,0.952447
154944,0.418979,0.949368,0.952715
155136,0.417705,0.949329,0.952981
155328,0.416435,0.949290,0.953245
155520,0.415167,0.949249,0.953508
155712,0.413902,0.949207,0.953768
155904,0.412640,0.949165,0.954027
156096,0.411380,0.949120,0.954284
156288,0.410123,0.949075,0.954539
156480,0.408869,0.949029,0.954793
156672,0.407618,0.948982,0.955044
156864,0.406370,0.948933,0.955294
157056,0.405125,0.948883,0.955542
157248,0.403882,0.948832,0.955788
157440,0.402642,0.948780,0.956032
157632,0.401406,0.948727,0.956274
157824,0.400172,0.948673,0.956515
158016,0.398941,0.948618,0.956754
158208,0.397713,0.948561,0.956991
158400,0.396488,0.948504,0.957226
158592,0.395266,0.948445,0.957459
158784,0.394047,0.948385,0.957691
158976,0.392831,0.948324,0.957920
159168,0.391619,0.948262,0.958148
159360,0.390409,0.948199,0.958374
159552,0.389202,0.948134,0.958599
159744,0.387999,0.948069,0.958821
159936,0.386798,0.948002,0.959042
160128,0.385601,0.947934,0.959261
160320,0.384407,0.947866,0.959478
160512,0.383216,0.947796,0.959694
160704,0.382028,0.947724,0.959907
160896,0.380844,0.947652,0.960119
161088,0.379662,0.947579,0.960329
161280,0.378484,0.947504,0.960537
161472,0.377309,0.947429,0.960744
161664,0.376138,0.947352,0.960948
161856,0.374969,0.947274,0.961151
162048,0.373804,0.947195,0.961352
162240,0.372643,0.947115,0.961552
162432,0.371484,0.947034,0.961750
162624,0.370329,0.946951,0.961945
162816,0.369178,0.946868,0.962140
163008,0.368029,0.946783,0.962332
163200,0.366885,0.946698,0.962523
163392,0.365743,0.946611,0.962712
163584,0.364605,0.946523,0.962899
163776,0.363471,0.946434,0.963084
163968,0.362339,0.946344,0.963268
164160,0.361212,0.946252,0.963450
164352,0.360088,0.946160,0.963630
164544,0.358967,0.946066,0.963809
164736,0.357850,0.945972,0.963985
164928,0.356737,0.945876,0.964160
165120,0.355627,0.945779,0.964334
165312,0.354520,0.945681,0.964505
165504,0.353417,0.945582,0.964675
165696,0.352318,0.945482,0.964843
165888,0.351223,0.945380,0.965010
166080,0.350131,0.945278,0.965175
166272,0.349042,0.945174,0.965338
166464,0.347958,0.945069,0.965499
166656,0.346877,0.944964,0.965659
166848,0.345800,0.944857,0.965817
167040,0.344726,0.944749,0.965973
167232,0.343656,0.944640,0.966128
167424,0.342590,0.944529,0.966281
167616,0.341528,0.944418,0.966433
167808,0.340469,0.944305,0.966582
168000,0.339415,0.944192,0.966730
168192,0.338364,0.944077,0.966876
168384,0.337317,0.943961,0.967021
168576,0.336273,0.943844,0.967164
168768,0.335234,0.943726,0.967306
168960,0.334198,0.943607,0.967445
169152,0.333167,0.943487,0.967583
169344,0.332139,0.943366,0.967720
169536,0.331115,0.943243,0.967854
169728,0.330095,0.943119,0.967988
169920,0.329079,0.942995,0.968119
170112,0.328067,0.942869,0.968249
170304,0.327058,0.942742,0.968377
170496,0.326054,0.942614,0.968504
170688,0.325054,0.942485,0.968629
170880,0.324058,0.942355,0.968752
171072,0.323066,0.942224,0.968874
171264,0.322078,0.942091,0.968994
171456,0.321094,0.941958,0.969112
171648,0.320114,0.941823,0.969229
171840,0.319138,0.941687,0.969345
172032,0.318166,0.941551,0.969458
172224,0.317198,0.941413,0.969570
172416,0.316234,0.941274,0.969681
172608,0.315275,0.941134,0.969790
172800,0.314319,0.940992,0.969897
172992,0.313368,0.940850,0.970003
173184,0.312421,0.940707,0.970107
173376,0.311478,0.940562,0.970209
173568,0.310540,0.940417,0.970310
173760,0.309605,0.940270,0.970410
173952,0.308675,0.940122,0.970508
174144,0.307749,0.939973,0.970604
174336,0.306827,0.939823,0.970698
174528,0.305910,0.939672,0.970792
174720,0.304996,0.939520,0.970883
174912,0.304087,0.939367,0.970973
175104,0.303183,0.939213,0.971061
175296,0.302282,0.939057,0.971148
175488,0.301386,0.938901,0.971233
175680,0.300495,0.938743,0.971317
175872,0.299607,0.938584,0.971399
176064,0.298724,0.938425,0.971480
176256,0.297846,0.938264,0.971559
176448,0.296972,0.938102,0.971636
176640,0.296102,0.937939,0.971712
176832,0.295236,0.937775,0.971787
177024,0.294375,0.937610,0.971860
177216,0.293519,0.937443,0.971931
177408,0.292667,0.937276,0.972001
177600,0.291819,0.937108,0.972069
177792,0.290976,0.936938,0.972136
177984,0.290137,0.936768,0.972201
178176,0.289303,0.936596,0.972264
178368,0.288473,0.936423,0.972326
178560,0.287648,0.936249,0.972387
178752,0.286828,0.936074,0.972446
178944,0.286011,0.935898,0.972503
179136,0.285200,0.935721,0.972559
179328,0.284393,0.935543,0.972614
179520,0.283591,0.935364,0.972666
179712,0.282793,0.935184,0.972718
179904,0.282000,0.935002,0.972767
180096,0.281211,0.934820,0.972816
180288,0.280427,0.934637,0.972862
180480,0.279648,0.934452,0.972908
180672,0.278873,0.934266,0.972951
180864,0.278103,0.934080,0.972993
181056,0.277337,0.933892,0.973034
181248,0.276577,0.933703,0.973073
181440,0.275821,0.933513,0.973111
181632,0.275069,0.933322,0.973147
181824,0.274323,0.933130,0.973181
182016,0.273581,0.932937,0.973214
182208,0.272844,0.932743,0.973245
182400,0.272111,0.932548,0.973275
182592,0.271383,0.932351,0.973303
182784,0.270661,0.932154,0.973330
182976,0.269942,0.931956,0.973356
183168,0.269229,0.931756,0.973379
183360,0.268520,0.931556,0.973401
183552,0.267817,0.931354,0.973422
183744,0.267118,0.931151,0.973441
183936,0.266423,0.930948,0.973459
184128,0.265734,0.930743,0.973475
184320,0.265049,0.930537,0.973489
184512,0.264370,0.930330,0.973502
184704,0.263695,0.930122,0.973513
184896,0.263025,0.929913,0.973523
185088,0.262360,0.929703,0.973531
185280,0.261700,0.929492,0.973538
185472,0.261044,0.929280,0.973543
185664,0.260394,0.929067,0.973547
185856,0.259749,0.928853,0.973549
186048,0.259108,0.928638,0.973549
186240,0.258472,0.928421,0.973548
186432,0.257842,0.928204,0.973545
186624,0.257216,0.927986,0.973541
186816,0.256595,0.927766,0.973535
187008,0.255979,0.927546,0.973528
187200,0.255369,0.927324,0.973519
187392,0.254763,0.927102,0.973508
187584,0.254162,0.926878,0.973496
187776,0.253566,0.926653,0.973482
187968,0.252975,0.926428,0.973466
188160,0.252389,0.926201,0.973449
188352,0.251809,0.925973,0.973431
188544,0.251233,0.925744,0.973410
188736,0.250662,0.925515,0.973389
188928,0.250096,0.925284,0.973365
189120,0.249536,0.925052,0.973340
189312,0.248980,0.924819,0.973313
189504,0.248430,0.924585,0.973285
189696,0.247884,0.924350,0.973255
189888,0.247344,0.924114,0.973223
190080,0.246809,0.923877,0.973190
190272,0.246279,0.923639,0.973155
190464,0.245754,0.923400,0.973118
190656,0.245234,0.923160,0.973080
190848,0.244719,0.922919,0.973040
191040,0.244209,0.922677,0.972998
191232,0.243705,0.922433,0.972955
191424,0.243205,0.922189,0.972910
191616,0.242711,0.921944,0.972863
191808,0.242222,0.921698,0.972814
192000,0.241738,0.921451,0.972764
192192,0.241260,0.921202,0.972712
192384,0.240786,0.920953,0.972659
192576,0.240318,0.920703,0.972603
192768,0.239855,0.920452,0.972546
192960,0.239397,0.920199,0.972487
193152,0.238944,0.919946,0.972427
193344,0.238497,0.919692,0.972364
193536,0.238054,0.919436,0.972300
193728,0.237617,0.919180,0.972234
193920,0.237185,0.918923,0.972167
194112,0.236759,0.918664,0.972097
194304,0.236338,0.918405,0.972026
194496,0.235921,0.918144,0.971953
194688,0.235511,0.917883,0.971878
194880,0.235105,0.917621,0.971801
195072,0.234705,0.917357,0.971723
195264,0.234310,0.917093,0.971642
195456,0.233920,0.916828,0.971560
195648,0.233536,0.916561,0.971476
195840,0.233156,0.916294,0.971390
196032,0.232782,0.916025,0.971302
196224,0.232414,0.915756,0.971212
196416,0.232051,0.915486,0.971121
196608,0.231693,0.915214,0.971027
196800,0.231340,0.914942,0.970932
196992,0.230993,0.914669,0.970834
197184,0.230651,0.914395,0.970735
197376,0.230314,0.914119,0.970633
197568,0.229983,0.913843,0.970530
197760,0.229657,0.913566,0.970425
197952,0.229336,0.913287,0.970318
198144,0.229021,0.913008,0.970209
198336,0.228711,0.912728,0.970097
198528,0.228406,0.912447,0.969984
198720,0.228107,0.912165,0.969869
198912,0.227813,0.911882,0.969752
199104,0.227525,0.911597,0.969632
199296,0.227242,0.911312,0.969511
199488,0.226964,0.911026,0.969387
199680,0.226692,0.910739,0.969262
199872,0.226425,0.910451,0.969134
200064,0.226163,0.910162,0.969005
200256,0.225907,0.909872,0.968873
200448,0.225656,0.909581,0.968739
200640,0.225411,0.909289,0.968603
200832,0.225171,0.908997,0.968464
201024,0.224936,0.908703,0.968324
201216,0.224707,0.908408,0.968181
201408,0.224483,0.908112,0.968036
201600,0.224265,0.907816,0.967889
201792,0.224052,0.907518,0.967740
201984,0.223845,0.907219,0.967588
202176,0.223642,0.906920,0.967435
202368,0.223446,0.906619,0.967279
202560,0.223255,0.906318,0.967120
202752,0.223069,0.906015,0.966960
202944,0.222889,0.905712,0.966797
203136,0.222714,0.905407,0.966631
203328,0.222544,0.905102,0.966464
203520,0.222380,0.904796,0.966294
203712,0.222222,0.904489,0.966122
203904,0.222069,0.904180,0.965947
204096,0.221921,0.903871,0.965770
204288,0.221779,0.903561,0.965590
204480,0.221642,0.903250,0.965408
204672,0.221511,0.902938,0.965224
204864,0.221385,0.902626,0.965037
205056,0.221265,0.902312,0.964848
205248,0.221150,0.901997,0.964656
205440,0.221040,0.901681,0.964462
205632,0.220936,0.901365,0.964265
205824,0.220838,0.901047,0.964066
206016,0.220745,0.900729,0.963864
206208,0.220657,0.900409,0.963660
206400,0.220575,0.900089,0.963452
206592,0.220498,0.899768,0.963243
206784,0.220427,0.899446,0.963031
206976,0.220362,0.899123,0.962816
207168,0.220301,0.898798,0.962598
207360,0.220247,0.898474,0.962378
207552,0.220197,0.898148,0.962155
207744,0.220154,0.897821,0.961929
207936,0.220115,0.897493,0.961701
208128,0.220083,0.897165,0.961470
208320,0.220055,0.896835,0.961236
208512,0.220033,0.896505,0.961000
208704,0.220017,0.896173,0.960760
208896,0.220006,0.895841,0.960518
209088,0.220001,0.895508,0.960273
209280,0.220001,0.895174,0.960025
209472,0.220006,0.894839,0.959774
209664,0.220017,0.894503,0.959521
209856,0.220034,0.894166,0.959264
210048,0.220056,0.893828,0.959005
210240,0.220083,0.893489,0.958742
210432,0.220116,0.893150,0.958477
210624,0.220155,0.892809,0.958208
210816,0.220199,0.892468,0.957937
211008,0.220248,0.892126,0.957663
211200,0.220303,0.891783,0.957385
211392,0.220363,0.891439,0.957105
211584,0.220429,0.891094,0.956821
211776,0.220500,0.890748,0.956535
211968,0.220577,0.890401,0.956245
212160,0.220659,0.890054,0.955952
212352,0.220747,0.889705,0.955656
212544,0.220840,0.889356,0.955357
212736,0.220939,0.889006,0.955055
212928,0.221043,0.888655,0.954749
213120,0.221152,0.888303,0.954440
213312,0.221267,0.887950,0.954128
213504,0.221388,0.887596,0.953813
213696,0.221514,0.887241,0.953494
213888,0.221645,0.886886,0.953172
214080,0.221782,0.886529,0.952847
214272,0.221924,0.886172,0.952518
214464,0.222072,0.885814,0.952186
214656,0.222225,0.885455,0.951851
214848,0.222384,0.885095,0.951512
215040,0.222548,0.884735,0.951170
215232,0.222718,0.884373,0.950824
215424,0.222893,0.884010,0.950475
215616,0.223073,0.883647,0.950122
215808,0.223259,0.883283,0.949766
216000,0.223451,0.882918,0.949406
216192,0.223647,0.882552,0.949043
216384,0.223850,0.882185,0.948676
216576,0.224057,0.881818,0.948306
216768,0.224270,0.881449,0.947931
216960,0.224489,0.881080,0.947554
217152,0.224713,0.880710,0.947172
217344,0.224942,0.880339,0.946787
217536,0.225177,0.879967,0.946398
217728,0.225417,0.879594,0.946005
217920,0.225662,0.879221,0.945609
218112,0.225913,0.878846,0.945209
218304,0.226169,0.878471,0.944805
218496,0.226431,0.878095,0.944397
218688,0.226698,0.877718,0.943986
218880,0.226971,0.877340,0.943570
219072,0.227248,0.876962,0.943151
219264,0.227532,0.876582,0.942728
219456,0.227820,0.876202,0.942300
219648,0.228114,0.875821,0.941869
219840,0.228414,0.875439,0.941434
220032,0.228718,0.875057,0.940995
220224,0.229028,0.874673,0.940552
220416,0.229344,0.874289,0.940105
220608,0.229665,0.873903,0.939653
220800,0.229991,0.873517,0.939198
220992,0.230322,0.873131,0.938739
221184,0.230659,0.872743,0.938275
221376,0.231001,0.872355,0.937807
221568,0.231349,0.871965,0.937336
221760,0.231701,0.871575,0.936860
221952,0.232059,0.871184,0.936379
222144,0.232423,0.870793,0.935895
222336,0.232792,0.870400,0.935406
222528,0.233166,0.870007,0.934913
222720,0.233545,0.869613,0.934416
222912,0.233929,0.869218,0.933914
223104,0.234319,0.868822,0.933408
223296,0.234715,0.868426,0.932897
223488,0.235115,0.868028,0.932383
223680,0.235521,0.867630,0.931863
223872,0.235932,0.867231,0.931340
224064,0.236348,0.866831,0.930812
224256,0.236769,0.866431,0.930279
224448,0.237196,0.866030,0.929742
224640,0.237628,0.865628,0.929200
224832,0.238065,0.865225,0.928654
225024,0.238508,0.864821,0.928104
225216,0.238955,0.864417,0.927548
225408,0.239408,0.864012,0.926988
225600,0.239866,0.863606,0.926424
225792,0.240329,0.863199,0.925855
225984,0.240798,0.862791,0.925281
226176,0.241271,0.862383,0.924702
226368,0.241750,0.861974,0.924119
226560,0.242234,0.861564,0.923531
226752,0.242723,0.861153,0.922939
226944,0.243218,0.860742,0.922341
227136,0.243717,0.860330,0.921739
227328,0.244222,0.859917,0.921132
227520,0.244731,0.859503,0.920520
227712,0.245246,0.859089,0.919903
227904,0.245766,0.858674,0.919281
228096,0.246292,0.858258,0.918655
228288,0.246822,0.857841,0.918023
228480,0.247357,0.857424,0.917387
228672,0.247898,0.857005,0.916745
228864,0.248443,0.856586,0.916099
229056,0.248994,0.856167,0.915448
229248,0.249549,0.855746,0.914791
229440,0.250110,0.855325,0.914130
229632,0.250676,0.854903,0.913463
229824,0.251247,0.854480,0.912792
230016,0.251823,0.854057,0.912115
230208,0.252404,0.853633,0.911433
230400,0.252990,0.853208,0.910746
230592,0.253581,0.852782,0.910054
230784,0.254177,0.852356,0.909357
230976,0.254778,0.851929,0.908654
231168,0.255384,0.851501,0.907947
231360,0.255994,0.851072,0.907234
231552,0.256610,0.850643,0.906516
231744,0.257231,0.850213,0.905792
231936,0.257857,0.849782,0.905064
232128,0.258488,0.849351,0.904330
232320,0.259124,0.848919,0.903590
232512,0.259764,0.848486,0.902846
232704,0.260410,0.848052,0.902096
232896,0.261061,0.847618,0.901340
233088,0.261716,0.847183,0.900580
233280,0.262376,0.846747,0.899813
233472,0.263041,0.846310,0.899042
233664,0.263711,0.845873,0.898265
233856,0.264386,0.845435,0.897482
234048,0.265066,0.844997,0.896694
234240,0.265751,0.844558,0.895901
234432,0.266440,0.844118,0.895102
234624,0.267135,0.843677,0.894297
234816,0.267834,0.843236,0.893487
