# engine-hybrid-stack control log
sample_rate_hz=48000 frames=726000 bpm=128 beats=28
euclid_steps=11 fills=6 rotate=2 steps_per_beat=4
burst_cluster=4 spacing_samples=360 frames_per_step=5625
euclid_seed=0xc0ffee burst_seed=0xb17eb5e
events=244
index,engine,when_samples,euclid_step,burst_idx,pan,sampler_brightness,sampler_drive,resonator_bloom,resonator_feedback,granular_density,macro_pan
181056,0.608535,0.276936,0.283393,0.497107,0.993296,0.947219
181152,0.608015,0.276818,0.283190,0.496887,0.993302,0.947233
181248,0.607496,0.276701,0.282987,0.496668,0.993307,0.947247
181344,0.606976,0.276583,0.282784,0.496448,0.993313,0.947260
181440,0.606457,0.276466,0.282581,0.496229,0.993319,0.947274
181536,0.605937,0.276349,0.282378,0.496009,0.993324,0.947288
181632,0.605418,0.276232,0.282175,0.495790,0.993330,0.947301
181728,0.604899,0.276115,0.281973,0.495571,0.993336,0.947315
181824,0.604380,0.275998,0.281771,0.495352,0.993342,0.947328
181920,0.603861,0.275881,0.281569,0.495133,0.993347,0.947341
182016,0.603342,0.275764,0.281367,0.494914,0.993353,0.947355
182112,0.602824,0.275647,0.281165,0.494696,0.993359,0.947368
182208,0.602305,0.275531,0.280963,0.494477,0.993365,0.947381
182304,0.601786,0.275414,0.280762,0.494258,0.993371,0.947395
182400,0.601268,0.275298,0.280561,0.494040,0.993377,0.947408
182496,0.600750,0.275181,0.280360,0.493822,0.993383,0.947421
182592,0.600232,0.275065,0.280159,0.493603,0.993389,0.947434
182688,0.599714,0.274949,0.279958,0.493385,0.993395,0.947447
182784,0.599196,0.274832,0.279758,0.493167,0.993401,0.947461
182880,0.598678,0.274716,0.279557,0.492949,0.993407,0.947474
182976,0.598160,0.274600,0.279357,0.492731,0.993413,0.947487
183072,0.597643,0.274484,0.279157,0.492513,0.993419,0.947500
183168,0.597125,0.274369,0.278957,0.492295,0.993425,0.947513
183264,0.596608,0.274253,0.278758,0.492078,0.993431,0.947526
183360,0.596090,0.274137,0.278558,0.491860,0.993437,0.947538
183456,0.595573,0.274022,0.278359,0.491643,0.993443,0.947551
183552,0.595056,0.273906,0.278160,0.491425,0.993449,0.947564
183648,0.594539,0.273791,0.277961,0.491208,0.993456,0.947577
183744,0.594023,0.273675,0.277762,0.490991,0.993462,0.947590
183840,0.593506,0.273560,0.277563,0.490774,0.993468,0.947602
183936,0.592990,0.273445,0.277365,0.490557,0.993474,0.947615
184032,0.592473,0.273330,0.277167,0.490340,0.993481,0.947628
184128,0.591957,0.273215,0.276969,0.490123,0.993487,0.947640
184224,0.591441,0.273100,0.276771,0.489906,0.993493,0.947653
184320,0.590925,0.272985,0.276573,0.489690,0.993500,0.947666
184416,0.590409,0.272870,0.276375,0.489473,0.993506,0.947678
184512,0.589893,0.272755,0.276178,0.489257,0.993512,0.947691
184608,0.589378,0.272641,0.275981,0.489040,0.993519,0.947703
184704,0.588862,0.272526,0.275784,0.488824,0.993525,0.947716
184800,0.588347,0.272412,0.275587,0.488608,0.993532,0.947728
184896,0.587832,0.272297,0.275390,0.488392,0.993538,0.947740
184992,0.587317,0.272183,0.275194,0.488176,0.993545,0.947753
185088,0.586802,0.272069,0.274997,0.487960,0.993551,0.947765
185184,0.586287,0.271955,0.274801,0.487744,0.993558,0.947777
185280,0.585772,0.271841,0.274605,0.487529,0.993564,0.947789
185376,0.585258,0.271727,0.274410,0.487313,0.993571,0.947802
185472,0.584744,0.271613,0.274214,0.487098,0.993577,0.947814
185568,0.584230,0.271499,0.274018,0.486882,0.993584,0.947826
185664,0.583715,0.271385,0.273823,0.486667,0.993591,0.947838
185760,0.583202,0.271272,0.273628,0.486452,0.993597,0.947850
185856,0.582688,0.271158,0.273433,0.486237,0.993604,0.947862
185952,0.582174,0.271044,0.273238,0.486022,0.993611,0.947874
186048,0.581661,0.270931,0.273044,0.485807,0.993618,0.947886
186144,0.581148,0.270818,0.272850,0.485592,0.993624,0.947898
186240,0.580634,0.270705,0.272655,0.485377,0.993631,0.947910
186336,0.580122,0.270591,0.272461,0.485163,0.993638,0.947922
186432,0.579609,0.270478,0.272267,0.484948,0.993645,0.947934
186528,0.579096,0.270365,0.272074,0.484734,0.993652,0.947945
186624,0.578584,0.270252,0.271880,0.484520,0.993658,0.947957
186720,0.578071,0.270140,0.271687,0.484305,0.993665,0.947969
186816,0.577559,0.270027,0.271494,0.484091,0.993672,0.947981
186912,0.577047,0.269914,0.271301,0.483877,0.993679,0.947992
187008,0.576535,0.269802,0.271108,0.483663,0.993686,0.948004
187104,0.576023,0.269689,0.270915,0.483450,0.993693,0.948015
187200,0.575512,0.269577,0.270723,0.483236,0.993700,0.948027
187296,0.575001,0.269464,0.270531,0.483022,0.993707,0.948039
187392,0.574489,0.269352,0.270339,0.482809,0.993714,0.948050
187488,0.573978,0.269240,0.270147,0.482595,0.993721,0.948062
187584,0.573468,0.269128,0.269955,0.482382,0.993728,0.948073
187680,0.572957,0.269016,0.269764,0.482169,0.993735,0.948084
187776,0.572446,0.268904,0.269572,0.481956,0.993742,0.948096
187872,0.571936,0.268792,0.269381,0.481743,0.993750,0.948107
187968,0.571426,0.268680,0.269190,0.481530,0.993757,0.948118
188064,0.570916,0.268569,0.268999,0.481317,0.993764,0.948130
188160,0.570406,0.268457,0.268809,0.481104,0.993771,0.948141
188256,0.569897,0.268345,0.268618,0.480892,0.993778,0.948152
188352,0.569387,0.268234,0.268428,0.480679,0.993786,0.948163
188448,0.568878,0.268123,0.268238,0.480467,0.993793,0.948174
188544,0.568369,0.268011,0.268048,0.480255,0.993800,0.948185
188640,0.567860,0.267900,0.267858,0.480042,0.993808,0.948196
188736,0.567351,0.267789,0.267669,0.479830,0.993815,0.948207
188832,0.566843,0.267678,0.267479,0.479618,0.993822,0.948218
188928,0.566334,0.267567,0.267290,0.479407,0.993830,0.948229
189024,0.565826,0.267456,0.267101,0.479195,0.993837,0.948240
189120,0.565318,0.267346,0.266912,0.478983,0.993844,0.948251
189216,0.564810,0.267235,0.266724,0.478772,0.993852,0.948262
189312,0.564303,0.267124,0.266535,0.478560,0.993859,0.948273
189408,0.563795,0.267014,0.266347,0.478349,0.993867,0.948284
189504,0.563288,0.266903,0.266159,0.478137,0.993874,0.948294
189600,0.562781,0.266793,0.265971,0.477926,0.993882,0.948305
189696,0.562274,0.266683,0.265783,0.477715,0.993889,0.948316
189792,0.561768,0.266572,0.265595,0.477504,0.993897,0.948326
189888,0.561261,0.266462,0.265408,0.477294,0.993904,0.948337
189984,0.560755,0.266352,0.265221,0.477083,0.993912,0.948348
190080,0.560249,0.266242,0.265034,0.476872,0.993920,0.948358
190176,0.559743,0.266132,0.264847,0.476662,0.993927,0.948369
190272,0.559238,0.266023,0.264660,0.476451,0.993935,0.948379
190368,0.558732,0.265913,0.264474,0.476241,0.993943,0.948390
190464,0.558227,0.265803,0.264287,0.476031,0.993950,0.948400
190560,0.557722,0.265694,0.264101,0.475821,0.993958,0.948410
190656,0.557217,0.265584,0.263915,0.475611,0.993966,0.948421
190752,0.556713,0.265475,0.263730,0.475401,0.993973,0.948431
190848,0.556208,0.265366,0.263544,0.475191,0.993981,0.948441
190944,0.555704,0.265257,0.263359,0.474981,0.993989,0.948451
191040,0.555200,0.265147,0.263174,0.474772,0.993997,0.948462
191136,0.554696,0.265038,0.262989,0.474562,0.994005,0.948472
191232,0.554193,0.264929,0.262804,0.474353,0.994013,0.948482
191328,0.553689,0.264821,0.262619,0.474144,0.994020,0.948492
191424,0.553186,0.264712,0.262435,0.473935,0.994028,0.948502
191520,0.552683,0.264603,0.262250,0.473726,0.994036,0.948512
191616,0.552181,0.264495,0.262066,0.473517,0.994044,0.948522
191712,0.551678,0.264386,0.261882,0.473308,0.994052,0.948532
191808,0.551176,0.264278,0.261698,0.473099,0.994060,0.948542
191904,0.550674,0.264169,0.261515,0.472891,0.994068,0.948552
192000,0.550172,0.264061,0.261332,0.472682,0.994076,0.948562
192096,0.549671,0.263953,0.261148,0.472474,0.994084,0.948572
192192,0.549169,0.263845,0.260965,0.472265,0.994092,0.948582
192288,0.548668,0.263737,0.260783,0.472057,0.994100,0.948591
192384,0.548167,0.263629,0.260600,0.471849,0.994108,0.948601
192480,0.547667,0.263521,0.260417,0.471641,0.994116,0.948611
192576,0.547166,0.263413,0.260235,0.471434,0.994125,0.948620
192672,0.546666,0.263305,0.260053,0.471226,0.994133,0.948630
192768,0.546166,0.263198,0.259871,0.471018,0.994141,0.948640
192864,0.545666,0.263090,0.259690,0.470811,0.994149,0.948649
192960,0.545167,0.262983,0.259508,0.470603,0.994157,0.948659
193056,0.544667,0.262875,0.259327,0.470396,0.994166,0.948668
193152,0.544168,0.262768,0.259145,0.470189,0.994174,0.948678
193248,0.543670,0.262661,0.258965,0.469982,0.994182,0.948687
193344,0.543171,0.262554,0.258784,0.469775,0.994190,0.948697
193440,0.542673,0.262447,0.258603,0.469568,0.994199,0.948706
193536,0.542175,0.262340,0.258423,0.469361,0.994207,0.948715
193632,0.541677,0.262233,0.258242,0.469155,0.994215,0.948725
193728,0.541179,0.262126,0.258062,0.468948,0.994224,0.948734
193824,0.540682,0.262019,0.257883,0.468742,0.994232,0.948743
193920,0.540185,0.261913,0.257703,0.468536,0.994240,0.948752
194016,0.539688,0.261806,0.257523,0.468330,0.994249,0.948761
194112,0.539191,0.261700,0.257344,0.468124,0.994257,0.948771
194208,0.538695,0.261594,0.257165,0.467918,0.994266,0.948780
194304,0.538199,0.261487,0.256986,0.467712,0.994274,0.948789
194400,0.537703,0.261381,0.256807,0.467506,0.994283,0.948798
194496,0.537207,0.261275,0.256629,0.467301,0.994291,0.948807
194592,0.536712,0.261169,0.256450,0.467095,0.994300,0.948816
194688,0.536217,0.261063,0.256272,0.466890,0.994308,0.948825
194784,0.535722,0.260957,0.256094,0.466685,0.994317,0.948834
194880,0.535227,0.260851,0.255916,0.466479,0.994325,0.948842
194976,0.534733,0.260746,0.255739,0.466274,0.994334,0.948851
195072,0.534239,0.260640,0.255561,0.466069,0.994343,0.948860
195168,0.533745,0.260535,0.255384,0.465865,0.994351,0.948869
195264,0.533251,0.260429,0.255207,0.465660,0.994360,0.948878
195360,0.532758,0.260324,0.255030,0.465455,0.994369,0.948886
195456,0.532265,0.260219,0.254853,0.465251,0.994377,0.948895
195552,0.531772,0.260113,0.254677,0.465047,0.994386,0.948904
195648,0.531280,0.260008,0.254501,0.464843,0.994395,0.948912
195744,0.530787,0.259903,0.254324,0.464638,0.994403,0.948921
195840,0.530295,0.259798,0.254149,0.464434,0.994412,0.948929
195936,0.529804,0.259694,0.253973,0.464231,0.994421,0.948938
196032,0.529312,0.259589,0.253797,0.464027,0.994430,0.948946
196128,0.528821,0.259484,0.253622,0.463823,0.994439,0.948955
196224,0.528330,0.259380,0.253447,0.463620,0.994447,0.948963
196320,0.527839,0.259275,0.253272,0.463416,0.994456,0.948971
196416,0.527349,0.259171,0.253097,0.463213,0.994465,0.948980
196512,0.526859,0.259066,0.252922,0.463010,0.994474,0.948988
196608,0.526369,0.258962,0.252748,0.462807,0.994483,0.948996
196704,0.525880,0.258858,0.252574,0.462604,0.994492,0.949004
196800,0.525390,0.258754,0.252399,0.462401,0.994501,0.949013
196896,0.524901,0.258650,0.252226,0.462199,0.994510,0.949021
196992,0.524413,0.258546,0.252052,0.461996,0.994519,0.949029
197088,0.523924,0.258442,0.251878,0.461794,0.994528,0.949037
197184,0.523436,0.258338,0.251705,0.461591,0.994537,0.949045
197280,0.522948,0.258235,0.251532,0.461389,0.994546,0.949053
197376,0.522461,0.258131,0.251359,0.461187,0.994555,0.949061
197472,0.521973,0.258028,0.251186,0.460985,0.994564,0.949069
197568,0.521486,0.257924,0.251014,0.460783,0.994573,0.949077
197664,0.521000,0.257821,0.250841,0.460581,0.994582,0.949085
197760,0.520513,0.257718,0.250669,0.460380,0.994591,0.949093
197856,0.520027,0.257615,0.250497,0.460178,0.994600,0.949100
197952,0.519541,0.257512,0.250326,0.459977,0.994609,0.949108
198048,0.519056,0.257409,0.250154,0.459776,0.994619,0.949116
198144,0.518570,0.257306,0.249983,0.459575,0.994628,0.949124
198240,0.518085,0.257203,0.249811,0.459374,0.994637,0.949131
198336,0.517601,0.257100,0.249640,0.459173,0.994646,0.949139
198432,0.517116,0.256998,0.249469,0.458972,0.994655,0.949147
198528,0.516632,0.256895,0.249299,0.458771,0.994665,0.949154
198624,0.516148,0.256793,0.249128,0.458571,0.994674,0.949162
198720,0.515665,0.256690,0.248958,0.458371,0.994683,0.949169
198816,0.515182,0.256588,0.248788,0.458170,0.994693,0.949177
198912,0.514699,0.256486,0.248618,0.457970,0.994702,0.949184
199008,0.514216,0.256384,0.248448,0.457770,0.994711,0.949192
199104,0.513734,0.256282,0.248279,0.457570,0.994720,0.949199
199200,0.513252,0.256180,0.248110,0.457370,0.994730,0.949206
199296,0.512770,0.256078,0.247940,0.457171,0.994739,0.949214
199392,0.512289,0.255976,0.247772,0.456971,0.994749,0.949221
199488,0.511808,0.255874,0.247603,0.456772,0.994758,0.949228
199584,0.511327,0.255773,0.247434,0.456573,0.994767,0.949235
199680,0.510847,0.255671,0.247266,0.456373,0.994777,0.949242
199776,0.510367,0.255570,0.247098,0.456174,0.994786,0.949250
199872,0.509887,0.255468,0.246930,0.455975,0.994796,0.949257
199968,0.509407,0.255367,0.246762,0.455777,0.994805,0.949264
200064,0.508928,0.255266,0.246594,0.455578,0.994815,0.949271
200160,0.508449,0.255165,0.246427,0.455379,0.994824,0.949278
200256,0.507971,0.255064,0.246260,0.455181,0.994834,0.949285
200352,0.507492,0.254963,0.246093,0.454983,0.994843,0.949292
200448,0.507015,0.254862,0.245926,0.454785,0.994853,0.949299
200544,0.506537,0.254761,0.245759,0.454587,0.994863,0.949305
200640,0.506060,0.254661,0.245593,0.454389,0.994872,0.949312
200736,0.505583,0.254560,0.245427,0.454191,0.994882,0.949319
200832,0.505106,0.254460,0.245261,0.453993,0.994891,0.949326
200928,0.504630,0.254359,0.245095,0.453796,0.994901,0.949333
201024,0.504154,0.254259,0.244929,0.453598,0.994911,0.949339
201120,0.503678,0.254159,0.244764,0.453401,0.994920,0.949346
201216,0.503203,0.254059,0.244598,0.453204,0.994930,0.949353
201312,0.502728,0.253958,0.244433,0.453007,0.994940,0.949359
201408,0.502253,0.253858,0.244268,0.452810,0.994950,0.949366
201504,0.501779,0.253759,0.244104,0.452613,0.994959,0.949372
201600,0.501305,0.253659,0.243939,0.452416,0.994969,0.949379
201696,0.500831,0.253559,0.243775,0.452220,0.994979,0.949385
201792,0.500358,0.253459,0.243611,0.452024,0.994989,0.949392
201888,0.499885,0.253360,0.243447,0.451827,0.994998,0.949398
201984,0.499412,0.253260,0.243283,0.451631,0.995008,0.949404
202080,0.498940,0.253161,0.243120,0.451435,0.995018,0.949411
202176,0.498468,0.253062,0.242956,0.451239,0.995028,0.949417
202272,0.497996,0.252963,0.242793,0.451044,0.995038,0.949423
202368,0.497525,0.252863,0.242630,0.450848,0.995048,0.949430
202464,0.497054,0.252764,0.242467,0.450652,0.995057,0.949436
202560,0.496583,0.252666,0.242305,0.450457,0.995067,0.949442
202656,0.496113,0.252567,0.242142,0.450262,0.995077,0.949448
202752,0.495643,0.252468,0.241980,0.450067,0.995087,0.949454
202848,0.495173,0.252369,0.241818,0.449872,0.995097,0.949460
202944,0.494704,0.252271,0.241657,0.449677,0.995107,0.949466
203040,0.494235,0.252172,0.241495,0.449482,0.995117,0.949472
203136,0.493767,0.252074,0.241334,0.449288,0.995127,0.949478
203232,0.493298,0.251975,0.241172,0.449093,0.995137,0.949484
203328,0.492831,0.251877,0.241011,0.448899,0.995147,0.949490
203424,0.492363,0.251779,0.240851,0.448705,0.995157,0.949496
203520,0.491896,0.251681,0.240690,0.448511,0.995167,0.949502
203616,0.491429,0.251583,0.240529,0.448317,0.995177,0.949507
203712,0.490963,0.251485,0.240369,0.448123,0.995187,0.949513
203808,0.490497,0.251387,0.240209,0.447929,0.995197,0.949519
203904,0.490031,0.251289,0.240049,0.447736,0.995207,0.949525
204000,0.489566,0.251192,0.239890,0.447542,0.995217,0.949530
204096,0.489100,0.251094,0.239730,0.447349,0.995228,0.949536
204192,0.488636,0.250997,0.239571,0.447156,0.995238,0.949541
204288,0.488172,0.250899,0.239412,0.446963,0.995248,0.949547
204384,0.487708,0.250802,0.239253,0.446770,0.995258,0.949553
204480,0.487244,0.250705,0.239094,0.446577,0.995268,0.949558
204576,0.486781,0.250608,0.238936,0.446385,0.995278,0.949563
204672,0.486318,0.250511,0.238778,0.446192,0.995288,0.949569
204768,0.485856,0.250414,0.238620,0.446000,0.995299,0.949574
204864,0.485393,0.250317,0.238462,0.445808,0.995309,0.949580
204960,0.484932,0.250220,0.238304,0.445616,0.995319,0.949585
205056,0.484470,0.250123,0.238147,0.445424,0.995329,0.949590
205152,0.484009,0.250027,0.237989,0.445232,0.995340,0.949595
205248,0.483549,0.249930,0.237832,0.445040,0.995350,0.949601
205344,0.483088,0.249834,0.237675,0.444849,0.995360,0.949606
205440,0.482629,0.249738,0.237519,0.444657,0.995370,0.949611
205536,0.482169,0.249641,0.237362,0.444466,0.995381,0.949616
205632,0.481710,0.249545,0.237206,0.444275,0.995391,0.949621
205728,0.481251,0.249449,0.237050,0.444084,0.995401,0.949626
205824,0.480793,0.249353,0.236894,0.443893,0.995412,0.949631
205920,0.480335,0.249257,0.236738,0.443703,0.995422,0.949636
206016,0.479877,0.249161,0.236583,0.443512,0.995432,0.949641
206112,0.479420,0.249066,0.236427,0.443322,0.995443,0.949646
206208,0.478963,0.248970,0.236272,0.443131,0.995453,0.949651
206304,0.478506,0.248874,0.236117,0.442941,0.995464,0.949656
206400,0.478050,0.248779,0.235963,0.442751,0.995474,0.949661
206496,0.477595,0.248684,0.235808,0.442561,0.995484,0.949665
206592,0.477139,0.248588,0.235654,0.442371,0.995495,0.949670
206688,0.476684,0.248493,0.235500,0.442182,0.995505,0.949675
206784,0.476230,0.248398,0.235346,0.441992,0.995516,0.949680
206880,0.475776,0.248303,0.235192,0.441803,0.995526,0.949684
206976,0.475322,0.248208,0.235038,0.441614,0.995537,0.949689
207072,0.474869,0.248113,0.234885,0.441425,0.995547,0.949693
207168,0.474416,0.248018,0.234732,0.441236,0.995558,0.949698
207264,0.473963,0.247924,0.234579,0.441047,0.995568,0.949702
207360,0.473511,0.247829,0.234426,0.440858,0.995579,0.949707
207456,0.473059,0.247735,0.234274,0.440670,0.995589,0.949711
207552,0.472608,0.247640,0.234121,0.440482,0.995600,0.949716
207648,0.472157,0.247546,0.233969,0.440293,0.995610,0.949720
207744,0.471706,0.247452,0.233817,0.440105,0.995621,0.949724
207840,0.471256,0.247357,0.233666,0.439917,0.995632,0.949729
207936,0.470806,0.247263,0.233514,0.439729,0.995642,0.949733
208032,0.470356,0.247169,0.233363,0.439542,0.995653,0.949737
208128,0.469907,0.247075,0.233212,0.439354,0.995663,0.949741
208224,0.469459,0.246982,0.233061,0.439167,0.995674,0.949746
208320,0.469011,0.246888,0.232910,0.438980,0.995685,0.949750
208416,0.468563,0.246794,0.232759,0.438793,0.995695,0.949754
208512,0.468115,0.246701,0.232609,0.438606,0.995706,0.949758
208608,0.467668,0.246607,0.232459,0.438419,0.995717,0.949762
208704,0.467222,0.246514,0.232309,0.438232,0.995727,0.949766
208800,0.466776,0.246421,0.232159,0.438046,0.995738,0.949770
208896,0.466330,0.246327,0.232010,0.437859,0.995749,0.949774
208992,0.465884,0.246234,0.231860,0.437673,0.995759,0.949778
209088,0.465440,0.246141,0.231711,0.437487,0.995770,0.949782
209184,0.464995,0.246048,0.231562,0.437301,0.995781,0.949785
209280,0.464551,0.245956,0.231414,0.437115,0.995791,0.949789
209376,0.464107,0.245863,0.231265,0.436929,0.995802,0.949793
209472,0.463664,0.245770,0.231117,0.436744,0.995813,0.949797
209568,0.463221,0.245678,0.230968,0.436558,0.995824,0.949800
209664,0.462779,0.245585,0.230821,0.436373,0.995834,0.949804
209760,0.462337,0.245493,0.230673,0.436188,0.995845,0.949808
209856,0.461895,0.245400,0.230525,0.436003,0.995856,0.949811
209952,0.461454,0.245308,0.230378,0.435818,0.995867,0.949815
210048,0.461013,0.245216,0.230231,0.435634,0.995878,0.949818
210144,0.460573,0.245124,0.230084,0.435449,0.995888,0.949822
210240,0.460133,0.245032,0.229937,0.435265,0.995899,0.949825
210336,0.459693,0.244940,0.229791,0.435080,0.995910,0.949829
210432,0.459254,0.244848,0.229644,0.434896,0.995921,0.949832
210528,0.458815,0.244757,0.229498,0.434712,0.995932,0.949835
210624,0.458377,0.244665,0.229352,0.434529,0.995943,0.949839
210720,0.457939,0.244573,0.229206,0.434345,0.995953,0.949842
210816,0.457502,0.244482,0.229061,0.434161,0.995964,0.949845
210912,0.457065,0.244391,0.228916,0.433978,0.995975,0.949848
211008,0.456629,0.244299,0.228771,0.433795,0.995986,0.949852
211104,0.456193,0.244208,0.228626,0.433612,0.995997,0.949855
211200,0.455757,0.244117,0.228481,0.433429,0.996008,0.949858
211296,0.455322,0.244026,0.228336,0.433246,0.996019,0.949861
211392,0.454887,0.243935,0.228192,0.433063,0.996030,0.949864
211488,0.454453,0.243845,0.228048,0.432881,0.996041,0.949867
211584,0.454019,0.243754,0.227904,0.432698,0.996052,0.949870
211680,0.453585,0.243663,0.227760,0.432516,0.996062,0.949873
211776,0.453152,0.243573,0.227617,0.432334,0.996073,0.949876
211872,0.452720,0.243482,0.227474,0.432152,0.996084,0.949879
211968,0.452288,0.243392,0.227330,0.431971,0.996095,0.949882
212064,0.451856,0.243301,0.227188,0.431789,0.996106,0.949884
212160,0.451425,0.243211,0.227045,0.431608,0.996117,0.949887
212256,0.450994,0.243121,0.226902,0.431426,0.996128,0.949890
212352,0.450563,0.243031,0.226760,0.431245,0.996139,0.949893
212448,0.450134,0.242941,0.226618,0.431064,0.996150,0.949895
212544,0.449704,0.242851,0.226476,0.430883,0.996161,0.949898
212640,0.449275,0.242762,0.226334,0.430702,0.996172,0.949901
212736,0.448846,0.242672,0.226193,0.430522,0.996183,0.949903
212832,0.448418,0.242582,0.226052,0.430341,0.996194,0.949906
212928,0.447991,0.242493,0.225911,0.430161,0.996205,0.949908
213024,0.447563,0.242404,0.225770,0.429981,0.996216,0.949911
213120,0.447137,0.242314,0.225629,0.429801,0.996227,0.949913
213216,0.446710,0.242225,0.225489,0.429621,0.996238,0.949916
213312,0.446285,0.242136,0.225348,0.429442,0.996249,0.949918
213408,0.445859,0.242047,0.225208,0.429262,0.996261,0.949920
213504,0.445434,0.241958,0.225068,0.429083,0.996272,0.949923
213600,0.445010,0.241869,0.224929,0.428904,0.996283,0.949925
213696,0.444586,0.241780,0.224789,0.428725,0.996294,0.949927
213792,0.444162,0.241692,0.224650,0.428546,0.996305,0.949929
213888,0.443739,0.241603,0.224511,0.428367,0.996316,0.949931
213984,0.443316,0.241515,0.224372,0.428188,0.996327,0.949934
214080,0.442894,0.241426,0.224234,0.428010,0.996338,0.949936
214176,0.442472,0.241338,0.224095,0.427832,0.996349,0.949938
214272,0.442051,0.241250,0.223957,0.427653,0.996360,0.949940
214368,0.441630,0.241161,0.223819,0.427475,0.996371,0.949942
214464,0.441210,0.241073,0.223681,0.427298,0.996382,0.949944
214560,0.440790,0.240985,0.223544,0.427120,0.996394,0.949946
214656,0.440371,0.240898,0.223406,0.426942,0.996405,0.949948
214752,0.439952,0.240810,0.223269,0.426765,0.996416,0.949949
214848,0.439533,0.240722,0.223132,0.426588,0.996427,0.949951
214944,0.439115,0.240634,0.222995,0.426411,0.996438,0.949953
215040,0.438698,0.240547,0.222859,0.426234,0.996449,0.949955
215136,0.438281,0.240459,0.222722,0.426057,0.996460,0.949957
215232,0.437864,0.240372,0.222586,0.425880,0.996472,0.949958
215328,0.437448,0.240285,0.222450,0.425704,0.996483,0.949960
215424,0.437033,0.240198,0.222315,0.425528,0.996494,0.949962
215520,0.436618,0.240111,0.222179,0.425352,0.996505,0.949963
215616,0.436203,0.240024,0.222044,0.425176,0.996516,0.949965
215712,0.435789,0.239937,0.221909,0.425000,0.996527,0.949966
215808,0.435375,0.239850,0.221774,0.424824,0.996539,0.949968
215904,0.434962,0.239763,0.221639,0.424649,0.996550,0.949969
216000,0.434549,0.239677,0.221504,0.424473,0.996561,0.949971
216096,0.434137,0.239590,0.221370,0.424298,0.996572,0.949972
216192,0.433725,0.239504,0.221236,0.424123,0.996583,0.949973
216288,0.433314,0.239417,0.221102,0.423948,0.996594,0.949975
216384,0.432903,0.239331,0.220968,0.423773,0.996606,0.949976
216480,0.432493,0.239245,0.220835,0.423599,0.996617,0.949977
216576,0.432083,0.239159,0.220702,0.423424,0.996628,0.949978
216672,0.431673,0.239073,0.220569,0.423250,0.996639,0.949980
216768,0.431265,0.238987,0.220436,0.423076,0.996650,0.949981
216864,0.430856,0.238901,0.220303,0.422902,0.996662,0.949982
216960,0.430448,0.238815,0.220171,0.422728,0.996673,0.949983
217056,0.430041,0.238730,0.220038,0.422555,0.996684,0.949984
217152,0.429634,0.238644,0.219906,0.422381,0.996695,0.949985
217248,0.429228,0.238559,0.219774,0.422208,0.996706,0.949986
217344,0.428822,0.238473,0.219643,0.422035,0.996718,0.949987
217440,0.428416,0.238388,0.219511,0.421862,0.996729,0.949988
217536,0.428011,0.238303,0.219380,0.421689,0.996740,0.949989
217632,0.427607,0.238218,0.219249,0.421516,0.996751,0.949990
217728,0.427203,0.238133,0.219118,0.421344,0.996763,0.949991
217824,0.426800,0.238048,0.218988,0.421171,0.996774,0.949991
217920,0.426397,0.237963,0.218857,0.420999,0.996785,0.949992
218016,0.425994,0.237878,0.218727,0.420827,0.996796,0.949993
218112,0.425592,0.237793,0.218597,0.420655,0.996807,0.949993
218208,0.425191,0.237709,0.218468,0.420483,0.996819,0.949994
218304,0.424790,0.237624,0.218338,0.420312,0.996830,0.949995
218400,0.424389,0.237540,0.218209,0.420140,0.996841,0.949995
218496,0.423990,0.237456,0.218080,0.419969,0.996852,0.949996
218592,0.423590,0.237372,0.217951,0.419798,0.996864,0.949996
218688,0.423191,0.237287,0.217822,0.419627,0.996875,0.949997
218784,0.422793,0.237203,0.217693,0.419456,0.996886,0.949997
218880,0.422395,0.237119,0.217565,0.419286,0.996897,0.949998
218976,0.421998,0.237036,0.217437,0.419115,0.996908,0.949998
219072,0.421601,0.236952,0.217309,0.418945,0.996920,0.949998
219168,0.421204,0.236868,0.217181,0.418775,0.996931,0.949999
219264,0.420808,0.236785,0.217054,0.418605,0.996942,0.949999
219360,0.420413,0.236701,0.216927,0.418435,0.996953,0.949999
219456,0.420018,0.236618,0.216800,0.418266,0.996965,0.949999
219552,0.419624,0.236534,0.216673,0.418096,0.996976,0.950000
219648,0.419230,0.236451,0.216546,0.417927,0.996987,0.950000
219744,0.418837,0.236368,0.216420,0.417758,0.996998,0.950000
219840,0.418444,0.236285,0.216294,0.417589,0.997010,0.950000
219936,0.418052,0.236202,0.216168,0.417420,0.997021,0.950000
220032,0.417660,0.236119,0.216042,0.417251,0.997032,0.950000
220128,0.417269,0.236037,0.215916,0.417083,0.997043,0.950000
220224,0.416878,0.235954,0.215791,0.416915,0.997054,0.950000
220320,0.416488,0.235871,0.215666,0.416747,0.997066,0.950000
220416,0.416099,0.235789,0.215541,0.416579,0.997077,0.950000
220512,0.415709,0.235706,0.215416,0.416411,0.997088,0.950000
220608,0.415321,0.235624,0.215291,0.416243,0.997099,0.949999
220704,0.414933,0.235542,0.215167,0.416076,0.997111,0.949999
220800,0.414545,0.235460,0.215043,0.415908,0.997122,0.949999
220896,0.414158,0.235378,0.214919,0.415741,0.997133,0.949999
220992,0.413772,0.235296,0.214795,0.415574,0.997144,0.949998
221088,0.413386,0.235214,0.214672,0.415407,0.997155,0.949998
