# engine-hybrid-stack control log
sample_rate_hz=48000 frames=726000 bpm=128 beats=28
euclid_steps=11 fills=6 rotate=2 steps_per_beat=4
burst_cluster=4 spacing_samples=360 frames_per_step=5625
euclid_seed=0xc0ffee burst_seed=0xb17eb5e
events=244
index,engine,when_samples,euclid_step,burst_idx,pan,sampler_brightness,sampler_drive,resonator_bloom,resonator_feedback,granular_density,macro_pan
62,granular,163845,29,2,0.278000,0.702084,0.299276,0.322526,0.537750,0.992657,0.944225
63,sampler,164205,29,3,0.369000,0.700142,0.298784,0.321655,0.536878,0.992663,0.944299
64,resonator,168750,30,0,0.215000,0.675511,0.292657,0.310852,0.525935,0.992764,0.945188
65,granular,169110,30,1,0.306000,0.673553,0.292179,0.310011,0.525074,0.992774,0.945255
66,sampler,169470,30,2,0.397000,0.671594,0.291702,0.309172,0.524215,0.992785,0.945322
67,resonator,169830,30,3,0.488000,0.669635,0.291226,0.308336,0.523356,0.992796,0.945389
68,granular,180000,32,0,0.453000,0.614257,0.278234,0.285643,0.499529,0.993236,0.947067
69,sampler,180360,32,1,0.544000,0.612305,0.277790,0.284874,0.498702,0.993256,0.947119
70,resonator,180720,32,2,0.635000,0.610354,0.277348,0.284107,0.497876,0.993277,0.947171
71,granular,181080,32,3,0.726000,0.608405,0.276906,0.283343,0.497052,0.993297,0.947223
72,sampler,191250,34,0,0.691000,0.554098,0.264909,0.262769,0.474314,0.994014,0.948484
73,resonator,191610,34,1,0.782000,0.552212,0.264501,0.262078,0.473530,0.994044,0.948522
74,granular,191970,34,2,0.873000,0.550329,0.264095,0.261389,0.472747,0.994074,0.948559
75,sampler,192330,34,3,0.257000,0.548449,0.263689,0.260703,0.471966,0.994104,0.948596
76,resonator,202500,36,0,0.222000,0.496877,0.252727,0.242406,0.450579,0.995061,0.949438
77,granular,202860,36,1,0.313000,0.495115,0.252357,0.241798,0.449847,0.995098,0.949461
78,sampler,203220,36,2,0.404000,0.493357,0.251988,0.241192,0.449118,0.995136,0.949483
79,resonator,203580,36,3,0.495000,0.491604,0.251620,0.240590,0.448389,0.995173,0.949505
80,granular,213750,38,0,0.460000,0.444347,0.241730,0.224711,0.428624,0.996300,0.949928
81,sampler,214110,38,1,0.551000,0.442762,0.241399,0.224190,0.427954,0.996342,0.949936
82,resonator,214470,38,2,0.642000,0.441184,0.241068,0.223673,0.427286,0.996383,0.949944
83,granular,214830,38,3,0.733000,0.439612,0.240738,0.223158,0.426621,0.996425,0.949951
84,sampler,225000,40,0,0.698000,0.398118,0.231956,0.209819,0.408754,0.997609,0.949954
