# engine-macro-orbits control log
sample_rate_hz=48000 frames=869268 bpm=123 beats=32
euclid_steps=15 fills=9 rotate=5 steps_per_beat=8
burst_cluster=5 spacing_samples=300 frames_per_step=2926.83
euclid_seed=0xbad0bee burst_seed=0xf11ed5e
events=765
index,engine,when_samples,euclid_step,burst_idx,pan_seed,macro_orbit,macro_tilt,sampler_contour,sampler_crunch,resonator_damping,resonator_spark,granular_spray
56,sampler,55910,19,1,0.629600,0.848630,0.929544,0.997752,0.830002,0.768835,0.319765,0.860528
57,granular,56210,19,2,0.852800,0.848518,0.929734,0.997915,0.830556,0.768275,0.318946,0.860519
58,resonator,56510,19,3,0.356000,0.848406,0.929924,0.998071,0.831110,0.767715,0.318134,0.860514
59,sampler,56810,19,4,0.579200,0.848294,0.930114,0.998221,0.831664,0.767154,0.317327,0.860511
60,sampler,61463,21,0,0.737600,0.846548,0.933011,0.999773,0.840159,0.758419,0.305544,0.860825
61,granular,61763,21,1,0.240800,0.846435,0.933195,0.999822,0.840701,0.757854,0.304830,0.860867
62,resonator,62063,21,2,0.464000,0.846321,0.933379,0.999866,0.841242,0.757288,0.304122,0.860913
63,sampler,62363,21,3,0.687200,0.846208,0.933562,0.999903,0.841783,0.756722,0.303419,0.860961
64,granular,62663,21,4,0.190400,0.846094,0.933745,0.999935,0.842323,0.756156,0.302721,0.861012
65,granular,67317,23,0,0.348800,0.844324,0.936539,0.999638,0.850608,0.747338,0.292566,0.862129
66,resonator,67617,23,1,0.572000,0.844209,0.936716,0.999568,0.851136,0.746768,0.291953,0.862222
67,sampler,67917,23,2,0.795200,0.844094,0.936893,0.999493,0.851664,0.746197,0.291345,0.862317
68,granular,68217,23,3,0.298400,0.843979,0.937070,0.999411,0.852190,0.745627,0.290742,0.862414
69,resonator,68517,23,4,0.521600,0.843864,0.937246,0.999323,0.852716,0.745055,0.290144,0.862513
70,sampler,70244,24,0,0.514400,0.843201,0.938254,0.998699,0.855730,0.741764,0.286795,0.863132
71,granular,70544,24,1,0.737600,0.843085,0.938428,0.998570,0.856250,0.741191,0.286229,0.863247
72,resonator,70844,24,2,0.240800,0.842970,0.938601,0.998435,0.856771,0.740618,0.285668,0.863365
73,sampler,71144,24,3,0.464000,0.842854,0.938774,0.998293,0.857290,0.740045,0.285111,0.863485
74,granular,71444,24,4,0.687200,0.842738,0.938947,0.998146,0.857809,0.739472,0.284559,0.863607
75,granular,76098,26,0,0.845600,0.840932,0.941584,0.995084,0.865760,0.730554,0.276569,0.865771
76,resonator,76398,26,1,0.348800,0.840815,0.941751,0.994837,0.866266,0.729978,0.276090,0.865928
77,sampler,76698,26,2,0.572000,0.840698,0.941918,0.994584,0.866771,0.729401,0.275615,0.866086
78,granular,76998,26,3,0.795200,0.840581,0.942085,0.994324,0.867276,0.728824,0.275144,0.866246
79,resonator,77298,26,4,0.298400,0.840464,0.942251,0.994059,0.867780,0.728247,0.274677,0.866408
80,resonator,81951,28,0,0.456800,0.838635,0.944781,0.989177,0.875495,0.719278,0.267940,0.869158
81,sampler,82251,28,1,0.680000,0.838516,0.944942,0.988813,0.875986,0.718698,0.267537,0.869349
82,granular,82551,28,2,0.183200,0.838397,0.945102,0.988443,0.876476,0.718119,0.267138,0.869543
83,resonator,82851,28,3,0.406400,0.838279,0.945261,0.988068,0.876966,0.717539,0.266743,0.869738
84,sampler,83151,28,4,0.629600,0.838160,0.945420,0.987686,0.877454,0.716959,0.266351,0.869934
85,granular,84878,29,0,0.622400,0.837474,0.946330,0.985374,0.880251,0.713618,0.264163,0.871096
86,resonator,85178,29,1,0.845600,0.837355,0.946487,0.984953,0.880734,0.713037,0.263795,0.871303
87,sampler,85478,29,2,0.348800,0.837236,0.946643,0.984526,0.881216,0.712456,0.263430,0.871512
88,granular,85778,29,3,0.572000,0.837116,0.946800,0.984093,0.881698,0.711875,0.263069,0.871722
89,resonator,86078,29,4,0.795200,0.836997,0.946955,0.983654,0.882179,0.711294,0.262711,0.871933
90,resonator,90732,31,0,0.233600,0.835132,0.949327,0.976102,0.889530,0.702263,0.257572,0.875392
91,sampler,91032,31,1,0.456800,0.835012,0.949477,0.975568,0.889997,0.701680,0.257267,0.875626
92,granular,91332,31,2,0.680000,0.834891,0.949626,0.975028,0.890463,0.701097,0.256964,0.875861
93,resonator,91632,31,3,0.183200,0.834770,0.949775,0.974482,0.890929,0.700514,0.256664,0.876097
94,sampler,91932,31,4,0.406400,0.834649,0.949924,0.973931,0.891393,0.699931,0.256367,0.876334
95,sampler,96585,33,0,0.564800,0.832762,0.952187,0.964660,0.898490,0.690877,0.252121,0.880156
96,granular,96885,33,1,0.788000,0.832639,0.952330,0.964017,0.898940,0.690292,0.251869,0.880411
97,resonator,97185,33,2,0.291200,0.832517,0.952473,0.963367,0.899390,0.689708,0.251620,0.880667
98,sampler,97485,33,3,0.514400,0.832395,0.952615,0.962713,0.899839,0.689124,0.251373,0.880924
99,granular,97785,33,4,0.737600,0.832272,0.952757,0.962053,0.900287,0.688539,0.251129,0.881182
100,resonator,99512,34,0,0.730400,0.831565,0.953567,0.958147,0.902848,0.685174,0.249771,0.882683
101,sampler,99812,34,1,0.233600,0.831442,0.953707,0.957450,0.903290,0.684590,0.249543,0.882947
102,granular,100112,34,2,0.456800,0.831319,0.953846,0.956748,0.903731,0.684005,0.249318,0.883211
103,resonator,100412,34,3,0.680000,0.831196,0.953985,0.956040,0.904172,0.683420,0.249095,0.883477
104,sampler,100712,34,4,0.183200,0.831073,0.954123,0.955327,0.904611,0.682835,0.248874,0.883743
105,sampler,105366,36,0,0.341600,0.829151,0.956224,0.943589,0.911315,0.673762,0.245730,0.887966
106,granular,105666,36,1,0.564800,0.829027,0.956356,0.942790,0.911740,0.673177,0.245544,0.888244
107,resonator,105966,36,2,0.788000,0.828902,0.956489,0.941985,0.912163,0.672592,0.245361,0.888522
108,sampler,106266,36,3,0.291200,0.828777,0.956620,0.941175,0.912586,0.672007,0.245179,0.888801
109,granular,106566,36,4,0.514400,0.828653,0.956752,0.940360,0.913008,0.671422,0.245000,0.889080
110,granular,111220,38,0,0.672800,0.826708,0.958744,0.927071,0.919440,0.662351,0.242453,0.893483
111,resonator,111520,38,1,0.176000,0.826582,0.958869,0.926173,0.919847,0.661766,0.242303,0.893771
112,sampler,111820,38,2,0.399200,0.826456,0.958994,0.925271,0.920253,0.661182,0.242156,0.894059
113,granular,112120,38,3,0.622400,0.826330,0.959119,0.924364,0.920659,0.660598,0.242009,0.894348
114,resonator,112420,38,4,0.845600,0.826204,0.959243,0.923452,0.921063,0.660013,0.241865,0.894636
115,sampler,114146,39,0,0.838400,0.825477,0.959951,0.918112,0.923371,0.656652,0.241064,0.896305
116,granular,114446,39,1,0.341600,0.825350,0.960073,0.917168,0.923769,0.656068,0.240930,0.896596
117,resonator,114746,39,2,0.564800,0.825223,0.960195,0.916219,0.924166,0.655485,0.240797,0.896888
118,sampler,115046,39,3,0.788000,0.825097,0.960316,0.915266,0.924562,0.654901,0.240666,0.897179
119,granular,115346,39,4,0.291200,0.824970,0.960437,0.914307,0.924958,0.654317,0.240537,0.897472
120,granular,120000,41,0,0.449600,0.822992,0.962263,0.898856,0.930969,0.645270,0.238712,0.902034
121,resonator,120300,41,1,0.672800,0.822863,0.962378,0.897823,0.931349,0.644688,0.238606,0.902330
