# engine-macro-orbits control log
sample_rate_hz=48000 frames=869268 bpm=123 beats=32
euclid_steps=15 fills=9 rotate=5 steps_per_beat=8
burst_cluster=5 spacing_samples=300 frames_per_step=2926.83
euclid_seed=0xbad0bee burst_seed=0xf11ed5e
events=765
index,engine,when_samples,euclid_step,burst_idx,pan_seed,macro_orbit,macro_tilt,sampler_contour,sampler_crunch,resonator_damping,resonator_spark,granular_spray
17664,0.929386,0.754359,0.837147,0.476888,0.886648,0.862221,0.902559
17728,0.929574,0.754492,0.837039,0.476536,0.886566,0.862199,0.902608
17792,0.929762,0.754626,0.836931,0.476184,0.886484,0.862178,0.902658
17856,0.929949,0.754760,0.836823,0.475833,0.886401,0.862156,0.902707
17920,0.930137,0.754894,0.836714,0.475482,0.886319,0.862134,0.902757
17984,0.930324,0.755027,0.836606,0.475131,0.886238,0.862113,0.902806
18048,0.930511,0.755161,0.836498,0.474780,0.886156,0.862091,0.902856
18112,0.930698,0.755295,0.836390,0.474430,0.886074,0.862069,0.902905
18176,0.930884,0.755428,0.836281,0.474079,0.885993,0.862048,0.902955
18240,0.931071,0.755562,0.836173,0.473730,0.885911,0.862026,0.903004
18304,0.931257,0.755695,0.836065,0.473380,0.885830,0.862004,0.903054
18368,0.931443,0.755829,0.835956,0.473031,0.885748,0.861983,0.903103
18432,0.931628,0.755963,0.835848,0.472682,0.885667,0.861961,0.903153
18496,0.931814,0.756096,0.835739,0.472333,0.885586,0.861939,0.903202
18560,0.931999,0.756230,0.835631,0.471985,0.885505,0.861918,0.903252
18624,0.932184,0.756363,0.835522,0.471637,0.885424,0.861896,0.903301
18688,0.932368,0.756497,0.835414,0.471289,0.885344,0.861874,0.903350
18752,0.932553,0.756630,0.835305,0.470941,0.885263,0.861853,0.903400
18816,0.932737,0.756763,0.835197,0.470594,0.885183,0.861831,0.903449
18880,0.932921,0.756897,0.835088,0.470247,0.885102,0.861809,0.903498
18944,0.933105,0.757030,0.834980,0.469900,0.885022,0.861787,0.903548
19008,0.933289,0.757164,0.834871,0.469553,0.884942,0.861766,0.903597
19072,0.933472,0.757297,0.834762,0.469207,0.884861,0.861744,0.903646
19136,0.933655,0.757430,0.834654,0.468861,0.884781,0.861722,0.903695
19200,0.933838,0.757564,0.834545,0.468516,0.884701,0.861701,0.903745
19264,0.934021,0.757697,0.834436,0.468170,0.884622,0.861679,0.903794
19328,0.934203,0.757830,0.834327,0.467825,0.884542,0.861657,0.903843
19392,0.934386,0.757963,0.834219,0.467481,0.884462,0.861635,0.903892
19456,0.934568,0.758097,0.834110,0.467136,0.884383,0.861614,0.903941
19520,0.934749,0.758230,0.834001,0.466792,0.884304,0.861592,0.903991
19584,0.934931,0.758363,0.833892,0.466448,0.884224,0.861570,0.904040
19648,0.935112,0.758496,0.833783,0.466104,0.884145,0.861548,0.904089
19712,0.935293,0.758629,0.833674,0.465761,0.884066,0.861527,0.904138
19776,0.935474,0.758762,0.833565,0.465418,0.883987,0.861505,0.904187
19840,0.935655,0.758895,0.833457,0.465075,0.883908,0.861483,0.904236
19904,0.935835,0.759028,0.833348,0.464733,0.883830,0.861461,0.904285
19968,0.936016,0.759162,0.833239,0.464391,0.883751,0.861440,0.904334
20032,0.936196,0.759295,0.833130,0.464049,0.883672,0.861418,0.904383
20096,0.936375,0.759428,0.833021,0.463707,0.883594,0.861396,0.904433
20160,0.936555,0.759561,0.832911,0.463366,0.883516,0.861374,0.904482
20224,0.936734,0.759693,0.832802,0.463025,0.883438,0.861352,0.904531
20288,0.936913,0.759826,0.832693,0.462684,0.883360,0.861331,0.904580
20352,0.937092,0.759959,0.832584,0.462343,0.883282,0.861309,0.904629
20416,0.937270,0.760092,0.832475,0.462003,0.883204,0.861287,0.904677
20480,0.937449,0.760225,0.832366,0.461663,0.883126,0.861265,0.904726
20544,0.937627,0.760358,0.832257,0.461324,0.883048,0.861243,0.904775
20608,0.937805,0.760491,0.832147,0.460984,0.882971,0.861222,0.904824
20672,0.937983,0.760624,0.832038,0.460645,0.882893,0.861200,0.904873
20736,0.938160,0.760756,0.831929,0.460306,0.882816,0.861178,0.904922
20800,0.938337,0.760889,0.831820,0.459968,0.882739,0.861156,0.904971
20864,0.938514,0.761022,0.831710,0.459630,0.882662,0.861134,0.905020
20928,0.938691,0.761155,0.831601,0.459292,0.882585,0.861113,0.905069
20992,0.938867,0.761287,0.831492,0.458954,0.882508,0.861091,0.905118
21056,0.939044,0.761420,0.831382,0.458617,0.882431,0.861069,0.905166
21120,0.939220,0.761553,0.831273,0.458280,0.882355,0.861047,0.905215
21184,0.939396,0.761685,0.831163,0.457943,0.882278,0.861025,0.905264
21248,0.939571,0.761818,0.831054,0.457607,0.882202,0.861003,0.905313
21312,0.939746,0.761950,0.830945,0.457271,0.882125,0.860982,0.905362
21376,0.939922,0.762083,0.830835,0.456935,0.882049,0.860960,0.905410
21440,0.940097,0.762216,0.830726,0.456599,0.881973,0.860938,0.905459
21504,0.940271,0.762348,0.830616,0.456264,0.881897,0.860916,0.905508
21568,0.940446,0.762481,0.830506,0.455929,0.881821,0.860894,0.905556
21632,0.940620,0.762613,0.830397,0.455594,0.881746,0.860872,0.905605
21696,0.940794,0.762746,0.830287,0.455260,0.881670,0.860850,0.905654
21760,0.940968,0.762878,0.830178,0.454926,0.881595,0.860829,0.905702
21824,0.941141,0.763010,0.830068,0.454592,0.881519,0.860807,0.905751
21888,0.941314,0.763143,0.829958,0.454258,0.881444,0.860785,0.905800
21952,0.941487,0.763275,0.829849,0.453925,0.881369,0.860763,0.905848
22016,0.941660,0.763408,0.829739,0.453592,0.881294,0.860741,0.905897
22080,0.941833,0.763540,0.829629,0.453260,0.881219,0.860719,0.905946
22144,0.942005,0.763672,0.829519,0.452927,0.881144,0.860697,0.905994
22208,0.942177,0.763804,0.829410,0.452595,0.881070,0.860675,0.906043
22272,0.942349,0.763937,0.829300,0.452263,0.880995,0.860653,0.906091
22336,0.942521,0.764069,0.829190,0.451932,0.880920,0.860631,0.906140
22400,0.942692,0.764201,0.829080,0.451601,0.880846,0.860610,0.906188
22464,0.942863,0.764333,0.828970,0.451270,0.880772,0.860588,0.906237
22528,0.943034,0.764466,0.828860,0.450939,0.880698,0.860566,0.906285
22592,0.943205,0.764598,0.828750,0.450609,0.880624,0.860544,0.906334
22656,0.943375,0.764730,0.828640,0.450279,0.880550,0.860522,0.906382
22720,0.943546,0.764862,0.828530,0.449949,0.880476,0.860500,0.906431
22784,0.943716,0.764994,0.828420,0.449620,0.880403,0.860478,0.906479
22848,0.943885,0.765126,0.828310,0.449291,0.880329,0.860456,0.906527
22912,0.944055,0.765258,0.828200,0.448962,0.880256,0.860434,0.906576
22976,0.944224,0.765390,0.828090,0.448633,0.880182,0.860412,0.906624
23040,0.944393,0.765522,0.827980,0.448305,0.880109,0.860390,0.906673
23104,0.944562,0.765654,0.827870,0.447977,0.880036,0.860368,0.906721
23168,0.944731,0.765786,0.827760,0.447650,0.879963,0.860346,0.906769
23232,0.944899,0.765918,0.827650,0.447322,0.879891,0.860324,0.906818
23296,0.945067,0.766050,0.827540,0.446995,0.879818,0.860302,0.906866
23360,0.945235,0.766182,0.827429,0.446668,0.879745,0.860280,0.906914
23424,0.945403,0.766314,0.827319,0.446342,0.879673,0.860258,0.906963
23488,0.945570,0.766445,0.827209,0.446016,0.879601,0.860237,0.907011
23552,0.945737,0.766577,0.827099,0.445690,0.879528,0.860215,0.907059
23616,0.945904,0.766709,0.826988,0.445364,0.879456,0.860193,0.907107
23680,0.946071,0.766841,0.826878,0.445039,0.879384,0.860171,0.907155
23744,0.946237,0.766973,0.826768,0.444714,0.879313,0.860149,0.907204
23808,0.946404,0.767104,0.826657,0.444389,0.879241,0.860127,0.907252
23872,0.946570,0.767236,0.826547,0.444065,0.879169,0.860105,0.907300
23936,0.946735,0.767368,0.826437,0.443741,0.879098,0.860083,0.907348
24000,0.946901,0.767499,0.826326,0.443417,0.879026,0.860061,0.907396
24064,0.947066,0.767631,0.826216,0.443094,0.878955,0.860039,0.907445
24128,0.947231,0.767763,0.826105,0.442770,0.878884,0.860017,0.907493
24192,0.947396,0.767894,0.825995,0.442448,0.878813,0.859995,0.907541
24256,0.947560,0.768026,0.825884,0.442125,0.878742,0.859973,0.907589
24320,0.947725,0.768157,0.825774,0.441803,0.878671,0.859951,0.907637
24384,0.947889,0.768289,0.825663,0.441481,0.878601,0.859928,0.907685
24448,0.948053,0.768420,0.825553,0.441159,0.878530,0.859906,0.907733
24512,0.948216,0.768552,0.825442,0.440838,0.878460,0.859884,0.907781
24576,0.948380,0.768683,0.825331,0.440516,0.878390,0.859862,0.907829
24640,0.948543,0.768815,0.825221,0.440196,0.878320,0.859840,0.907877
24704,0.948706,0.768946,0.825110,0.439875,0.878250,0.859818,0.907925
24768,0.948868,0.769077,0.824999,0.439555,0.878180,0.859796,0.907973
24832,0.949031,0.769209,0.824889,0.439235,0.878110,0.859774,0.908021
24896,0.949193,0.769340,0.824778,0.438915,0.878040,0.859752,0.908069
24960,0.949355,0.769472,0.824667,0.438596,0.877971,0.859730,0.908117
25024,0.949517,0.769603,0.824556,0.438277,0.877901,0.859708,0.908165
25088,0.949678,0.769734,0.824446,0.437958,0.877832,0.859686,0.908213
25152,0.949839,0.769865,0.824335,0.437640,0.877763,0.859664,0.908261
25216,0.950000,0.769997,0.824224,0.437322,0.877694,0.859642,0.908308
25280,0.950161,0.770128,0.824113,0.437004,0.877625,0.859620,0.908356
25344,0.950322,0.770259,0.824002,0.436687,0.877556,0.859598,0.908404
25408,0.950482,0.770390,0.823891,0.436369,0.877488,0.859576,0.908452
25472,0.950642,0.770521,0.823780,0.436053,0.877419,0.859553,0.908500
25536,0.950802,0.770652,0.823669,0.435736,0.877351,0.859531,0.908548
25600,0.950961,0.770783,0.823558,0.435420,0.877282,0.859509,0.908595
25664,0.951121,0.770915,0.823447,0.435104,0.877214,0.859487,0.908643
25728,0.951280,0.771046,0.823336,0.434788,0.877146,0.859465,0.908691
25792,0.951439,0.771177,0.823225,0.434473,0.877078,0.859443,0.908739
25856,0.951597,0.771308,0.823114,0.434157,0.877011,0.859421,0.908786
25920,0.951756,0.771439,0.823003,0.433843,0.876943,0.859399,0.908834
25984,0.951914,0.771570,0.822892,0.433528,0.876876,0.859377,0.908882
26048,0.952072,0.771700,0.822781,0.433214,0.876808,0.859354,0.908929
26112,0.952229,0.771831,0.822670,0.432900,0.876741,0.859332,0.908977
26176,0.952387,0.771962,0.822559,0.432587,0.876674,0.859310,0.909025
26240,0.952544,0.772093,0.822447,0.432273,0.876607,0.859288,0.909072
26304,0.952701,0.772224,0.822336,0.431960,0.876540,0.859266,0.909120
26368,0.952857,0.772355,0.822225,0.431648,0.876473,0.859244,0.909168
26432,0.953014,0.772486,0.822114,0.431335,0.876407,0.859222,0.909215
26496,0.953170,0.772616,0.822002,0.431023,0.876340,0.859199,0.909263
26560,0.953326,0.772747,0.821891,0.430711,0.876274,0.859177,0.909310
26624,0.953481,0.772878,0.821780,0.430400,0.876207,0.859155,0.909358
26688,0.953637,0.773008,0.821668,0.430089,0.876141,0.859133,0.909405
26752,0.953792,0.773139,0.821557,0.429778,0.876075,0.859111,0.909453
26816,0.953947,0.773270,0.821446,0.429467,0.876010,0.859089,0.909500
26880,0.954102,0.773400,0.821334,0.429157,0.875944,0.859067,0.909548
26944,0.954256,0.773531,0.821223,0.428847,0.875878,0.859044,0.909595
27008,0.954411,0.773662,0.821111,0.428538,0.875813,0.859022,0.909643
27072,0.954565,0.773792,0.821000,0.428228,0.875747,0.859000,0.909690
27136,0.954718,0.773923,0.820888,0.427919,0.875682,0.858978,0.909738
27200,0.954872,0.774053,0.820777,0.427610,0.875617,0.858956,0.909785
27264,0.955025,0.774184,0.820665,0.427302,0.875552,0.858933,0.909833
27328,0.955178,0.774314,0.820554,0.426994,0.875487,0.858911,0.909880
27392,0.955331,0.774445,0.820442,0.426686,0.875423,0.858889,0.909927
27456,0.955483,0.774575,0.820331,0.426379,0.875358,0.858867,0.909975
27520,0.955636,0.774705,0.820219,0.426071,0.875294,0.858845,0.910022
27584,0.955788,0.774836,0.820107,0.425764,0.875229,0.858822,0.910069
27648,0.955940,0.774966,0.819996,0.425458,0.875165,0.858800,0.910117
27712,0.956091,0.775096,0.819884,0.425152,0.875101,0.858778,0.910164
27776,0.956242,0.775227,0.819772,0.424846,0.875037,0.858756,0.910211
27840,0.956394,0.775357,0.819661,0.424540,0.874973,0.858733,0.910259
27904,0.956544,0.775487,0.819549,0.424235,0.874910,0.858711,0.910306
27968,0.956695,0.775618,0.819437,0.423929,0.874846,0.858689,0.910353
28032,0.956845,0.775748,0.819325,0.423625,0.874783,0.858667,0.910400
28096,0.956995,0.775878,0.819213,0.423320,0.874720,0.858645,0.910447
28160,0.957145,0.776008,0.819102,0.423016,0.874657,0.858622,0.910495
28224,0.957295,0.776138,0.818990,0.422712,0.874594,0.858600,0.910542
28288,0.957444,0.776268,0.818878,0.422409,0.874531,0.858578,0.910589
28352,0.957593,0.776398,0.818766,0.422105,0.874468,0.858556,0.910636
28416,0.957742,0.776528,0.818654,0.421803,0.874405,0.858533,0.910683
28480,0.957891,0.776659,0.818542,0.421500,0.874343,0.858511,0.910730
28544,0.958039,0.776789,0.818430,0.421198,0.874281,0.858489,0.910777
28608,0.958187,0.776919,0.818318,0.420896,0.874218,0.858466,0.910825
28672,0.958335,0.777049,0.818206,0.420594,0.874156,0.858444,0.910872
28736,0.958483,0.777178,0.818094,0.420292,0.874094,0.858422,0.910919
28800,0.958630,0.777308,0.817982,0.419991,0.874033,0.858400,0.910966
28864,0.958777,0.777438,0.817870,0.419691,0.873971,0.858377,0.911013
28928,0.958924,0.777568,0.817758,0.419390,0.873909,0.858355,0.911060
28992,0.959071,0.777698,0.817646,0.419090,0.873848,0.858333,0.911107
29056,0.959217,0.777828,0.817534,0.418790,0.873787,0.858310,0.911154
29120,0.959363,0.777958,0.817421,0.418491,0.873726,0.858288,0.911201
29184,0.959509,0.778087,0.817309,0.418191,0.873665,0.858266,0.911248
29248,0.959655,0.778217,0.817197,0.417892,0.873604,0.858244,0.911295
29312,0.959801,0.778347,0.817085,0.417594,0.873543,0.858221,0.911342
29376,0.959946,0.778477,0.816973,0.417295,0.873482,0.858199,0.911388
29440,0.960091,0.778606,0.816860,0.416997,0.873422,0.858177,0.911435
29504,0.960235,0.778736,0.816748,0.416700,0.873362,0.858154,0.911482
29568,0.960380,0.778866,0.816636,0.416402,0.873301,0.858132,0.911529
29632,0.960524,0.778995,0.816523,0.416105,0.873241,0.858110,0.911576
29696,0.960668,0.779125,0.816411,0.415808,0.873181,0.858087,0.911623
29760,0.960812,0.779254,0.816299,0.415512,0.873122,0.858065,0.911670
29824,0.960955,0.779384,0.816186,0.415216,0.873062,0.858043,0.911716
29888,0.961098,0.779513,0.816074,0.414920,0.873003,0.858020,0.911763
29952,0.961241,0.779643,0.815962,0.414624,0.872943,0.857998,0.911810
30016,0.961384,0.779772,0.815849,0.414329,0.872884,0.857976,0.911857
30080,0.961526,0.779902,0.815737,0.414034,0.872825,0.857953,0.911904
30144,0.961668,0.780031,0.815624,0.413739,0.872766,0.857931,0.911950
30208,0.961810,0.780161,0.815512,0.413445,0.872707,0.857908,0.911997
30272,0.961952,0.780290,0.815399,0.413151,0.872648,0.857886,0.912044
30336,0.962094,0.780419,0.815286,0.412857,0.872590,0.857864,0.912090
30400,0.962235,0.780549,0.815174,0.412564,0.872531,0.857841,0.912137
30464,0.962376,0.780678,0.815061,0.412271,0.872473,0.857819,0.912184
30528,0.962516,0.780807,0.814949,0.411978,0.872415,0.857797,0.912230
30592,0.962657,0.780937,0.814836,0.411685,0.872357,0.857774,0.912277
30656,0.962797,0.781066,0.814723,0.411393,0.872299,0.857752,0.912324
30720,0.962937,0.781195,0.814611,0.411101,0.872241,0.857729,0.912370
30784,0.963077,0.781324,0.814498,0.410810,0.872183,0.857707,0.912417
30848,0.963216,0.781453,0.814385,0.410518,0.872126,0.857685,0.912463
30912,0.963355,0.781582,0.814273,0.410228,0.872069,0.857662,0.912510
30976,0.963494,0.781712,0.814160,0.409937,0.872011,0.857640,0.912556
31040,0.963633,0.781841,0.814047,0.409647,0.871954,0.857617,0.912603
31104,0.963772,0.781970,0.813934,0.409357,0.871897,0.857595,0.912650
31168,0.963910,0.782099,0.813821,0.409067,0.871841,0.857573,0.912696
31232,0.964048,0.782228,0.813709,0.408777,0.871784,0.857550,0.912743
31296,0.964185,0.782357,0.813596,0.408488,0.871727,0.857528,0.912789
31360,0.964323,0.782486,0.813483,0.408200,0.871671,0.857505,0.912835
31424,0.964460,0.782615,0.813370,0.407911,0.871615,0.857483,0.912882
31488,0.964597,0.782744,0.813257,0.407623,0.871559,0.857460,0.912928
31552,0.964734,0.782872,0.813144,0.407335,0.871503,0.857438,0.912975
31616,0.964870,0.783001,0.813031,0.407047,0.871447,0.857415,0.913021
31680,0.965007,0.783130,0.812918,0.406760,0.871391,0.857393,0.913067
31744,0.965142,0.783259,0.812805,0.406473,0.871335,0.857371,0.913114
31808,0.965278,0.783388,0.812692,0.406187,0.871280,0.857348,0.913160
31872,0.965414,0.783516,0.812579,0.405900,0.871225,0.857326,0.913207
31936,0.965549,0.783645,0.812466,0.405614,0.871170,0.857303,0.913253
32000,0.965684,0.783774,0.812353,0.405329,0.871115,0.857281,0.913299
32064,0.965818,0.783903,0.812240,0.405043,0.871060,0.857258,0.913345
32128,0.965953,0.784031,0.812127,0.404758,0.871005,0.857236,0.913392
32192,0.966087,0.784160,0.812014,0.404473,0.870950,0.857213,0.913438
32256,0.966221,0.784289,0.811900,0.404189,0.870896,0.857191,0.913484
32320,0.966355,0.784417,0.811787,0.403905,0.870842,0.857168,0.913530
32384,0.966488,0.784546,0.811674,0.403621,0.870787,0.857146,0.913577
32448,0.966621,0.784674,0.811561,0.403337,0.870733,0.857123,0.913623
32512,0.966754,0.784803,0.811448,0.403054,0.870679,0.857101,0.913669
32576,0.966887,0.784931,0.811334,0.402771,0.870626,0.857078,0.913715
32640,0.967019,0.785060,0.811221,0.402489,0.870572,0.857056,0.913761
32704,0.967152,0.785188,0.811108,0.402206,0.870519,0.857033,0.913808
32768,0.967284,0.785317,0.810994,0.401924,0.870465,0.857011,0.913854
32832,0.967415,0.785445,0.810881,0.401643,0.870412,0.856988,0.913900
32896,0.967547,0.785573,0.810768,0.401361,0.870359,0.856966,0.913946
32960,0.967678,0.785702,0.810654,0.401080,0.870306,0.856943,0.913992
33024,0.967809,0.785830,0.810541,0.400799,0.870253,0.856921,0.914038
33088,0.967939,0.785958,0.810427,0.400519,0.870201,0.856898,0.914084
33152,0.968070,0.786087,0.810314,0.400239,0.870148,0.856876,0.914130
33216,0.968200,0.786215,0.810200,0.399959,0.870096,0.856853,0.914176
33280,0.968330,0.786343,0.810087,0.399679,0.870043,0.856831,0.914222
33344,0.968459,0.786471,0.809973,0.399400,0.869991,0.856808,0.914268
33408,0.968589,0.786599,0.809860,0.399121,0.869939,0.856785,0.914314
33472,0.968718,0.786728,0.809746,0.398843,0.869888,0.856763,0.914360
33536,0.968847,0.786856,0.809633,0.398564,0.869836,0.856740,0.914406
33600,0.968976,0.786984,0.809519,0.398286,0.869784,0.856718,0.914452
33664,0.969104,0.787112,0.809406,0.398009,0.869733,0.856695,0.914498
33728,0.969232,0.787240,0.809292,0.397731,0.869682,0.856673,0.914544
33792,0.969360,0.787368,0.809178,0.397454,0.869631,0.856650,0.914590
33856,0.969487,0.787496,0.809065,0.397178,0.869580,0.856628,0.914636
33920,0.969615,0.787624,0.808951,0.396901,0.869529,0.856605,0.914681
33984,0.969742,0.787752,0.808837,0.396625,0.869478,0.856582,0.914727
34048,0.969869,0.787880,0.808724,0.396349,0.869428,0.856560,0.914773
34112,0.969995,0.788008,0.808610,0.396074,0.869377,0.856537,0.914819
34176,0.970122,0.788136,0.808496,0.395799,0.869327,0.856515,0.914865
34240,0.970248,0.788263,0.808382,0.395524,0.869277,0.856492,0.914910
34304,0.970374,0.788391,0.808269,0.395249,0.869227,0.856469,0.914956
34368,0.970499,0.788519,0.808155,0.394975,0.869177,0.856447,0.915002
34432,0.970625,0.788647,0.808041,0.394701,0.869127,0.856424,0.915048
34496,0.970750,0.788774,0.807927,0.394427,0.869078,0.856402,0.915093
34560,0.970874,0.788902,0.807813,0.394154,0.869028,0.856379,0.915139
34624,0.970999,0.789030,0.807699,0.393881,0.868979,0.856356,0.915185
34688,0.971123,0.789158,0.807585,0.393608,0.868930,0.856334,0.915230
34752,0.971247,0.789285,0.807471,0.393336,0.868881,0.856311,0.915276
34816,0.971371,0.789413,0.807357,0.393064,0.868832,0.856288,0.915322
34880,0.971495,0.789540,0.807243,0.392792,0.868783,0.856266,0.915367
34944,0.971618,0.789668,0.807129,0.392520,0.868735,0.856243,0.915413
35008,0.971741,0.789796,0.807015,0.392249,0.868686,0.856221,0.915459
35072,0.971864,0.789923,0.806901,0.391978,0.868638,0.856198,0.915504
35136,0.971986,0.790051,0.806787,0.391708,0.868590,0.856175,0.915550
35200,0.972108,0.790178,0.806673,0.391437,0.868542,0.856153,0.915595
35264,0.972230,0.790305,0.806559,0.391168,0.868494,0.856130,0.915641
35328,0.972352,0.790433,0.806445,0.390898,0.868446,0.856107,0.915686
35392,0.972474,0.790560,0.806331,0.390629,0.868399,0.856085,0.915732
35456,0.972595,0.790688,0.806217,0.390360,0.868351,0.856062,0.915777
35520,0.972716,0.790815,0.806103,0.390091,0.868304,0.856039,0.915823
35584,0.972837,0.790942,0.805988,0.389822,0.868257,0.856017,0.915868
35648,0.972957,0.791070,0.805874,0.389554,0.868210,0.855994,0.915914
35712,0.973077,0.791197,0.805760,0.389287,0.868163,0.855971,0.915959
35776,0.973197,0.791324,0.805646,0.389019,0.868116,0.855949,0.916005
35840,0.973317,0.791451,0.805531,0.388752,0.868070,0.855926,0.916050
35904,0.973436,0.791578,0.805417,0.388485,0.868023,0.855903,0.916096
35968,0.973555,0.791706,0.805303,0.388219,0.867977,0.855880,0.916141
36032,0.973674,0.791833,0.805188,0.387952,0.867931,0.855858,0.916186
36096,0.973793,0.791960,0.805074,0.387686,0.867885,0.855835,0.916232
36160,0.973911,0.792087,0.804960,0.387421,0.867839,0.855812,0.916277
36224,0.974029,0.792214,0.804845,0.387155,0.867793,0.855790,0.916322
36288,0.974147,0.792341,0.804731,0.386890,0.867748,0.855767,0.916368
36352,0.974265,0.792468,0.804617,0.386626,0.867702,0.855744,0.916413
36416,0.974382,0.792595,0.804502,0.386361,0.867657,0.855721,0.916458
36480,0.974499,0.792722,0.804388,0.386097,0.867612,0.855699,0.916503
36544,0.974616,0.792849,0.804273,0.385834,0.867567,0.855676,0.916549
36608,0.974733,0.792976,0.804159,0.385570,0.867522,0.855653,0.916594
36672,0.974849,0.793103,0.804044,0.385307,0.867477,0.855631,0.916639
36736,0.974965,0.793230,0.803930,0.385044,0.867433,0.855608,0.916684
36800,0.975081,0.793356,0.803815,0.384782,0.867388,0.855585,0.916730
36864,0.975197,0.793483,0.803700,0.384519,0.867344,0.855562,0.916775
36928,0.975312,0.793610,0.803586,0.384257,0.867300,0.855540,0.916820
36992,0.975427,0.793737,0.803471,0.383996,0.867256,0.855517,0.916865
37056,0.975542,0.793863,0.803357,0.383735,0.867212,0.855494,0.916910
37120,0.975656,0.793990,0.803242,0.383474,0.867168,0.855471,0.916955
37184,0.975770,0.794117,0.803127,0.383213,0.867125,0.855448,0.917000
37248,0.975884,0.794243,0.803013,0.382953,0.867081,0.855426,0.917045
37312,0.975998,0.794370,0.802898,0.382692,0.867038,0.855403,0.917090
37376,0.976112,0.794497,0.802783,0.382433,0.866995,0.855380,0.917135
37440,0.976225,0.794623,0.802668,0.382173,0.866952,0.855357,0.917181
37504,0.976338,0.794750,0.802554,0.381914,0.866909,0.855335,0.917226
37568,0.976450,0.794876,0.802439,0.381655,0.866866,0.855312,0.917271
37632,0.976563,0.795003,0.802324,0.381397,0.866824,0.855289,0.917316
37696,0.976675,0.795129,0.802209,0.381139,0.866781,0.855266,0.917361
37760,0.976787,0.795256,0.802094,0.380881,0.866739,0.855243,0.917405
37824,0.976899,0.795382,0.801980,0.380623,0.866697,0.855221,0.917450
37888,0.977010,0.795508,0.801865,0.380366,0.866655,0.855198,0.917495
37952,0.977121,0.795635,0.801750,0.380109,0.866613,0.855175,0.917540
38016,0.977232,0.795761,0.801635,0.379852,0.866571,0.855152,0.917585
38080,0.977343,0.795887,0.801520,0.379596,0.866530,0.855129,0.917630
38144,0.977453,0.796014,0.801405,0.379340,0.866488,0.855107,0.917675
38208,0.977563,0.796140,0.801290,0.379084,0.866447,0.855084,0.917720
38272,0.977673,0.796266,0.801175,0.378828,0.866406,0.855061,0.917765
38336,0.977782,0.796392,0.801060,0.378573,0.866365,0.855038,0.917809
38400,0.977892,0.796519,0.800945,0.378318,0.866324,0.855015,0.917854
38464,0.978001,0.796645,0.800830,0.378064,0.866283,0.854992,0.917899
38528,0.978110,0.796771,0.800715,0.377810,0.866243,0.854969,0.917944
38592,0.978218,0.796897,0.800600,0.377556,0.866202,0.854947,0.917989
38656,0.978326,0.797023,0.800485,0.377302,0.866162,0.854924,0.918033
38720,0.978434,0.797149,0.800370,0.377049,0.866122,0.854901,0.918078
38784,0.978542,0.797275,0.800254,0.376796,0.866082,0.854878,0.918123
38848,0.978650,0.797401,0.800139,0.376543,0.866042,0.854855,0.918168
38912,0.978757,0.797527,0.800024,0.376291,0.866002,0.854832,0.918212
38976,0.978864,0.797653,0.799909,0.376039,0.865963,0.854809,0.918257
39040,0.978970,0.797779,0.799794,0.375787,0.865923,0.854787,0.918302
39104,0.979077,0.797905,0.799678,0.375536,0.865884,0.854764,0.918346
39168,0.979183,0.798031,0.799563,0.375284,0.865845,0.854741,0.918391
39232,0.979289,0.798156,0.799448,0.375034,0.865806,0.854718,0.918435
39296,0.979395,0.798282,0.799333,0.374783,0.865767,0.854695,0.918480
39360,0.979500,0.798408,0.799217,0.374533,0.865729,0.854672,0.918525
39424,0.979605,0.798534,0.799102,0.374283,0.865690,0.854649,0.918569
39488,0.979710,0.798660,0.798987,0.374033,0.865652,0.854626,0.918614
39552,0.979815,0.798785,0.798871,0.373784,0.865614,0.854603,0.918658
39616,0.979919,0.798911,0.798756,0.373535,0.865575,0.854581,0.918703
39680,0.980023,0.799037,0.798641,0.373286,0.865537,0.854558,0.918747
39744,0.980127,0.799162,0.798525,0.373038,0.865500,0.854535,0.918792
39808,0.980230,0.799288,0.798410,0.372790,0.865462,0.854512,0.918836
39872,0.980334,0.799413,0.798294,0.372542,0.865424,0.854489,0.918881
39936,0.980437,0.799539,0.798179,0.372294,0.865387,0.854466,0.918925
40000,0.980539,0.799664,0.798063,0.372047,0.865350,0.854443,0.918970
40064,0.980642,0.799790,0.797948,0.371800,0.865313,0.854420,0.919014
40128,0.980744,0.799915,0.797832,0.371554,0.865276,0.854397,0.919058
40192,0.980846,0.800041,0.797717,0.371307,0.865239,0.854374,0.919103
40256,0.980948,0.800166,0.797601,0.371062,0.865202,0.854351,0.919147
40320,0.981049,0.800292,0.797486,0.370816,0.865166,0.854328,0.919192
40384,0.981150,0.800417,0.797370,0.370571,0.865130,0.854305,0.919236
40448,0.981251,0.800542,0.797254,0.370325,0.865093,0.854282,0.919280
40512,0.981352,0.800668,0.797139,0.370081,0.865057,0.854259,0.919325
40576,0.981452,0.800793,0.797023,0.369836,0.865021,0.854236,0.919369
40640,0.981552,0.800918,0.796907,0.369592,0.864986,0.854214,0.919413
40704,0.981652,0.801043,0.796792,0.369348,0.864950,0.854191,0.919457
40768,0.981752,0.801169,0.796676,0.369105,0.864914,0.854168,0.919502
