# modulated-sampler control log
frames=48000 sample_rate_hz=48000
automation_stride_frames=128
frame,tone,spread,grain_lfo
9216,0.379650,0.208662,0.952512
9344,0.360932,0.220712,0.958682
9472,0.342755,0.233103,0.964565
9600,0.325164,0.245822,0.970124
9728,0.308205,0.258855,0.975318
9856,0.291919,0.272186,0.980112
9984,0.276349,0.285801,0.984468
10112,0.261533,0.299685,0.988350
10240,0.247509,0.313822,0.991727
10368,0.234312,0.328196,0.994565
10496,0.221976,0.342791,0.996837
10624,0.210532,0.357591,0.998514
10752,0.200009,0.372578,0.999573
10880,0.190432,0.387737,0.999993
11008,0.181828,0.403050,0.999756
11136,0.174216,0.418500,0.998848
11264,0.167617,0.434069,0.997258
11392,0.162047,0.449740,0.994977
11520,0.157520,0.465496,0.992004
11648,0.154048,0.481319,0.988337
11776,0.151640,0.497191,0.983982
11904,0.150300,0.513094,0.978945
12032,0.150034,0.529010,0.973240
12160,0.150841,0.544922,0.966881
12288,0.152720,0.560812,0.959887
12416,0.155665,0.576661,0.952281
12544,0.159670,0.592453,0.944088
12672,0.164724,0.608168,0.935338
12800,0.170815,0.623790,0.926062
12928,0.177926,0.639302,0.916294
13056,0.186041,0.654685,0.906070
13184,0.195138,0.669922,0.895428
13312,0.205195,0.684997,0.884409
13440,0.216186,0.699892,0.873054
13568,0.228083,0.714590,0.861405
13696,0.240857,0.729076,0.849505
13824,0.254475,0.743332,0.837397
13952,0.268902,0.757344,0.825125
14080,0.284103,0.771094,0.812733
14208,0.300039,0.784568,0.800261
14336,0.316669,0.797751,0.787754
14464,0.333952,0.810627,0.775250
14592,0.351844,0.823183,0.762790
14720,0.370300,0.835404,0.750412
14848,0.389272,0.847276,0.738152
14976,0.408714,0.858786,0.726045
15104,0.428576,0.869922,0.714124
15232,0.448808,0.880670,0.702419
15360,0.469359,0.891019,0.690958
15488,0.490176,0.900957,0.679769
15616,0.511208,0.910473,0.668876
15744,0.532401,0.919556,0.658301
15872,0.553701,0.928196,0.648064
16000,0.575056,0.936383,0.638182
16128,0.596410,0.944108,0.628673
16256,0.617710,0.951363,0.619548
16384,0.638902,0.958138,0.610822
16512,0.659933,0.964428,0.602504
16640,0.680749,0.970224,0.594602
16768,0.701298,0.975520,0.587124
16896,0.721528,0.980310,0.580076
17024,0.741388,0.984589,0.573461
17152,0.760828,0.988352,0.567283
17280,0.779798,0.991595,0.561544
17408,0.798251,0.994314,0.556244
17536,0.816140,0.996505,0.551385
17664,0.833419,0.998167,0.546966
17792,0.850046,0.999298,0.542986
17920,0.865978,0.999897,0.539442
18048,0.881175,0.999962,0.536334
18176,0.895598,0.999494,0.533659
18304,0.909212,0.998493,0.531415
18432,0.921981,0.996960,0.529598
18560,0.933874,0.994897,0.528205
18688,0.944860,0.992307,0.527234
18816,0.954912,0.989192,0.526681
18944,0.964004,0.985556,0.526543
19072,0.972113,0.981402,0.526817
19200,0.979220,0.976736,0.527499
19328,0.985305,0.971563,0.528585
19456,0.990353,0.965889,0.530072
19584,0.994353,0.959719,0.531956
19712,0.997293,0.953061,0.534233
19840,0.999166,0.945923,0.536899
19968,0.999967,0.938312,0.539949
20096,0.999695,0.930237,0.543379
20224,0.998351,0.921706,0.547183
20352,0.995936,0.912731,0.551356
20480,0.992459,0.903320,0.555890
20608,0.987927,0.893484,0.560781
20736,0.982351,0.883234,0.566020
20864,0.975747,0.872582,0.571598
20992,0.968130,0.861540,0.577509
21120,0.959520,0.850120,0.583741
21248,0.949939,0.838335,0.590284
21376,0.939411,0.826198,0.597127
21504,0.927962,0.813723,0.604258
21632,0.915621,0.800923,0.611664
21760,0.902420,0.787814,0.619331
21888,0.888392,0.774410,0.627243
22016,0.873572,0.760725,0.635385
22144,0.857998,0.746776,0.643740
22272,0.841709,0.732578,0.652291
22400,0.824746,0.718147,0.661019
22528,0.807152,0.703499,0.669904
22656,0.788972,0.688650,0.678928
22784,0.770251,0.673618,0.688070
22912,0.751037,0.658419,0.697308
23040,0.731378,0.643070,0.706621
23168,0.711325,0.627588,0.715988
23296,0.690927,0.611992,0.725386
23424,0.670236,0.596297,0.734794
23552,0.649304,0.580523,0.744190
23680,0.628185,0.564686,0.753551
23808,0.606931,0.548804,0.762857
23936,0.585597,0.532896,0.772085
24064,0.564236,0.516979,0.781217
24192,0.542902,0.501071,0.790231
24320,0.521649,0.485190,0.799108
24448,0.500532,0.469354,0.807830
24576,0.479602,0.453580,0.816381
24704,0.458913,0.437886,0.824742
24832,0.438517,0.422290,0.832900
24960,0.418466,0.406810,0.840841
25088,0.398811,0.391462,0.848552
25216,0.379601,0.376264,0.856021
25344,0.360884,0.361233,0.863240
25472,0.342708,0.346386,0.870198
25600,0.325119,0.331740,0.876890
25728,0.308162,0.317310,0.883308
25856,0.291878,0.303114,0.889450
25984,0.276309,0.289167,0.895311
26112,0.261496,0.275484,0.900890
26240,0.247474,0.262082,0.906186
26368,0.234279,0.248976,0.911200
26496,0.221945,0.236179,0.915932
26624,0.210504,0.223706,0.920387
26752,0.199982,0.211572,0.924567
26880,0.190409,0.199789,0.928475
27008,0.181807,0.188372,0.932118
27136,0.174198,0.177333,0.935500
27264,0.167601,0.166684,0.938628
27392,0.162034,0.156438,0.941506
27520,0.157510,0.146605,0.944142
27648,0.154041,0.137197,0.946542
27776,0.151635,0.128225,0.948712
27904,0.150298,0.119699,0.950658
28032,0.150035,0.111627,0.952387
28160,0.150845,0.104020,0.953903
28288,0.152726,0.096885,0.955211
28416,0.155675,0.090231,0.956316
28544,0.159682,0.084065,0.957222
28672,0.164739,0.078394,0.957931
28800,0.170832,0.073225,0.958445
28928,0.177946,0.068563,0.958767
29056,0.186063,0.064414,0.958894
29184,0.195163,0.060782,0.958828
29312,0.205222,0.057671,0.958565
29440,0.216215,0.055085,0.958102
29568,0.228115,0.053026,0.957437
29696,0.240891,0.051497,0.956562
29824,0.254511,0.050501,0.955472
29952,0.268941,0.050037,0.954159
30080,0.284144,0.050106,0.952615
30208,0.300081,0.050708,0.950829
30336,0.316713,0.051843,0.948791
30464,0.333998,0.053510,0.946490
30592,0.351891,0.055706,0.943912
30720,0.370348,0.058428,0.941045
30848,0.389322,0.061675,0.937875
30976,0.408765,0.065442,0.934387
31104,0.428628,0.069725,0.930568
31232,0.448861,0.074519,0.926400
31360,0.469412,0.079819,0.921870
31488,0.490231,0.085619,0.916962
31616,0.511263,0.091913,0.911662
31744,0.532456,0.098692,0.905955
31872,0.553757,0.105951,0.899827
32000,0.575111,0.113679,0.893265
32128,0.596465,0.121870,0.886258
32256,0.617765,0.130513,0.878794
32384,0.638957,0.139600,0.870863
32512,0.659988,0.149119,0.862459
32640,0.680803,0.159060,0.853576
32768,0.701351,0.169412,0.844208
32896,0.721581,0.180164,0.834354
33024,0.741439,0.191302,0.824016
33152,0.760878,0.202815,0.813195
33280,0.779847,0.214690,0.801897
33408,0.798298,0.226914,0.790131
33536,0.816185,0.239472,0.777908
33664,0.833463,0.252351,0.765242
33792,0.850088,0.265536,0.752149
33920,0.866018,0.279012,0.738649
34048,0.881213,0.292765,0.724766
34176,0.895635,0.306778,0.710525
34304,0.909246,0.321037,0.695954
34432,0.922013,0.335524,0.681084
34560,0.933904,0.350224,0.665949
34688,0.944888,0.365120,0.650585
34816,0.954937,0.380196,0.635029
34944,0.964026,0.395435,0.619322
35072,0.972133,0.410819,0.603505
35200,0.979237,0.426331,0.587622
35328,0.985319,0.441954,0.571715
35456,0.990365,0.457670,0.555830
35584,0.994362,0.473462,0.540012
35712,0.997299,0.489312,0.524306
35840,0.999169,0.505202,0.508756
35968,0.999968,0.521114,0.493408
36096,0.999693,0.537030,0.478303
36224,0.998346,0.552933,0.463485
36352,0.995929,0.568805,0.448993
36480,0.992448,0.584627,0.434866
36608,0.987913,0.600382,0.421139
36736,0.982335,0.616053,0.407847
36864,0.975728,0.631622,0.395019
36992,0.968109,0.647070,0.382685
37120,0.959497,0.662382,0.370868
37248,0.949913,0.677540,0.359590
37376,0.939382,0.692526,0.348870
37504,0.927931,0.707324,0.338721
37632,0.915588,0.721917,0.329156
37760,0.902384,0.736289,0.320181
37888,0.888354,0.750424,0.311801
38016,0.873532,0.764306,0.304016
38144,0.857956,0.777919,0.296825
38272,0.841665,0.791248,0.290220
38400,0.824701,0.804278,0.284194
38528,0.807105,0.816995,0.278735
38656,0.788924,0.829384,0.273827
38784,0.770202,0.841431,0.269455
38912,0.750986,0.853122,0.265598
39040,0.731327,0.864445,0.262236
39168,0.711272,0.875387,0.259345
39296,0.690873,0.885936,0.256901
39424,0.670181,0.896079,0.254877
39552,0.649249,0.905806,0.253247
39680,0.628130,0.915105,0.251982
39808,0.606876,0.923965,0.251054
39936,0.585541,0.932378,0.250434
40064,0.564180,0.940334,0.250093
40192,0.542847,0.947823,0.250001
40320,0.521594,0.954837,0.250131
40448,0.500477,0.961369,0.250453
40576,0.479547,0.967411,0.250940
40704,0.458859,0.972956,0.251565
40832,0.438465,0.977997,0.252301
40960,0.418415,0.982531,0.253125
41088,0.398760,0.986550,0.254012
41216,0.379551,0.990051,0.254939
41344,0.360836,0.993030,0.255886
41472,0.342662,0.995484,0.256833
41600,0.325074,0.997409,0.257761
41728,0.308118,0.998804,0.258653
41856,0.291836,0.999667,0.259496
41984,0.276270,0.999996,0.260274
42112,0.261458,0.999793,0.260977
42240,0.247438,0.999056,0.261594
42368,0.234246,0.997787,0.262116
42496,0.221914,0.995987,0.262538
42624,0.210475,0.993658,0.262853
42752,0.199956,0.990803,0.263058
42880,0.190385,0.987425,0.263151
43008,0.181785,0.983527,0.263132
43136,0.174179,0.979115,0.263002
43264,0.167585,0.974193,0.262764
43392,0.162021,0.968766,0.262421
43520,0.157500,0.962841,0.261980
43648,0.154033,0.956425,0.261447
43776,0.151630,0.949524,0.260830
43904,0.150296,0.942146,0.260139
44032,0.150036,0.934300,0.259385
44160,0.150848,0.925994,0.258578
44288,0.152733,0.917239,0.257733
44416,0.155684,0.908042,0.256861
44544,0.159694,0.898416,0.255978
44672,0.164753,0.888370,0.255098
44800,0.170849,0.877916,0.254237
44928,0.177966,0.867066,0.253411
45056,0.186086,0.855832,0.252637
45184,0.195188,0.844226,0.251930
45312,0.205250,0.832262,0.251309
45440,0.216245,0.819953,0.250789
45568,0.228147,0.807313,0.250388
45696,0.240926,0.794355,0.250120
45824,0.254548,0.781095,0.250004
45952,0.268980,0.767548,0.250053
46080,0.284184,0.753728,0.250283
46208,0.300124,0.739652,0.250708
46336,0.316758,0.725334,0.251340
46464,0.334044,0.710792,0.252191
46592,0.351939,0.696041,0.253273
46720,0.370397,0.681097,0.254594
46848,0.389372,0.665979,0.256164
46976,0.408817,0.650702,0.257989
47104,0.428681,0.635284,0.260074
47232,0.448914,0.619742,0.262422
47360,0.469466,0.604094,0.265037
47488,0.490285,0.588357,0.267918
47616,0.511318,0.572549,0.271064
47744,0.532511,0.556688,0.274472
47872,0.553812,0.540790,0.278137
47999,0.575000,0.525000,0.282022
normalize=0.92
